"Dim1","Dim2","Dim3","Val"
"p1","wecc","2010",0.637930933055937
"p1","wecc","2011",0.60948979970012
"p1","wecc","2012",0.602947160840217
"p1","wecc","2013",0.637885392241517
"p1","wecc","2014",0.631420553209903
"p1","wecc","2015",0.622304701327321
"p1","wecc","2016",0.643232511947569
"p1","wecc","2017",0.6370461058147
"p1","wecc","2018",0.622083350270575
"p1","wecc","2019",0.622083350270575
"p1","wecc","2020",0.612262766966923
"p1","wecc","2021",0.612262766966923
"p1","wecc","2022",0.612375270321895
"p1","wecc","2023",0.633622451966059
"p1","wecc","2024",0.633742463595533
"p1","wecc","2025",0.633197346347415
"p1","wecc","2026",0.635861218590301
"p1","wecc","2027",0.634424942496545
"p1","wecc","2028",0.635729672817942
"p1","wecc","2029",0.635515686088961
"p1","wecc","2030",0.635597136229302
"p1","wecc","2031",0.63557989880717
"p1","wecc","2032",0.635477224956883
"p1","wecc","2033",0.635408135408135
"p1","wecc","2034",0.635335105090412
"p1","wecc","2035",0.635251711360559
"p1","wecc","2036",0.635071886074032
"p1","wecc","2037",0.634817404923121
"p1","wecc","2038",0.634510470758284
"p1","wecc","2039",0.634209118093835
"p1","wecc","2040",0.634059316805755
"p1","wecc","2041",0.634059316805755
"p1","wecc","2042",0.634059316805755
"p1","wecc","2043",0.634059316805755
"p1","wecc","2044",0.634059316805755
"p1","wecc","2045",0.634059316805755
"p1","wecc","2046",0.634059316805755
"p1","wecc","2047",0.634059316805755
"p1","wecc","2048",0.634059316805755
"p1","wecc","2049",0.634059316805755
"p1","wecc","2050",0.634059316805755
"p3","wecc","2010",0.347701200135602
"p3","wecc","2011",0.361921766828147
"p3","wecc","2012",0.365193086250298
"p3","wecc","2013",0.347723970542143
"p3","wecc","2014",0.350956390048695
"p3","wecc","2015",0.355514315998588
"p3","wecc","2016",0.345050410708453
"p3","wecc","2017",0.348143613777431
"p3","wecc","2018",0.355624991510569
"p3","wecc","2019",0.355624991510569
"p3","wecc","2020",0.360535283203687
"p3","wecc","2021",0.360535283203687
"p3","wecc","2022",0.360479031500609
"p3","wecc","2023",0.349855440657496
"p3","wecc","2024",0.3497954348689
"p3","wecc","2025",0.350067993492959
"p3","wecc","2026",0.348736057347146
"p3","wecc","2027",0.349454195418394
"p3","wecc","2028",0.348801830257696
"p3","wecc","2029",0.348908823646829
"p3","wecc","2030",0.348868098576594
"p3","wecc","2031",0.348876717238489
"p3","wecc","2032",0.348928054212899
"p3","wecc","2033",0.348962598962599
"p3","wecc","2034",0.348999114096675
"p3","wecc","2035",0.349040810961535
"p3","wecc","2036",0.349130723629651
"p3","wecc","2037",0.349257964205106
"p3","wecc","2038",0.349411431262086
"p3","wecc","2039",0.349562107645426
"p3","wecc","2040",0.349637008289584
"p3","wecc","2041",0.349637008289584
"p3","wecc","2042",0.349637008289584
"p3","wecc","2043",0.349637008289584
"p3","wecc","2044",0.349637008289584
"p3","wecc","2045",0.349637008289584
"p3","wecc","2046",0.349637008289584
"p3","wecc","2047",0.349637008289584
"p3","wecc","2048",0.349637008289584
"p3","wecc","2049",0.349637008289584
"p3","wecc","2050",0.349637008289584
"p18","wecc","2010",0.0143678668084616
"p18","wecc","2011",0.0285884334717337
"p18","wecc","2012",0.0318597529094844
"p18","wecc","2013",0.01439063721634
"p18","wecc","2014",0.0176230567414014
"p18","wecc","2015",0.0221809826740914
"p18","wecc","2016",0.0117170773439781
"p18","wecc","2017",0.0148102804078694
"p18","wecc","2018",0.0222916582188556
"p18","wecc","2019",0.0222916582188556
"p18","wecc","2020",0.0272019498293903
"p18","wecc","2021",0.0272019498293903
"p18","wecc","2022",0.0271456981774956
"p18","wecc","2023",0.0165221073764449
"p18","wecc","2024",0.0164621015355668
"p18","wecc","2025",0.0167346601596258
"p18","wecc","2026",0.0154027240625525
"p18","wecc","2027",0.0161208620850607
"p18","wecc","2028",0.0154684969243624
"p18","wecc","2029",0.0155754902642096
"p18","wecc","2030",0.0155347651941035
"p18","wecc","2031",0.0155433839543408
"p18","wecc","2032",0.0155947208302183
"p18","wecc","2033",0.0156292656292656
"p18","wecc","2034",0.0156657808129133
"p18","wecc","2035",0.0157074776779057
"p18","wecc","2036",0.0157973902963173
"p18","wecc","2037",0.015924630871773
"p18","wecc","2038",0.0160780979796299
"p18","wecc","2039",0.0162287742607388
"p18","wecc","2040",0.0163036749046605
"p18","wecc","2041",0.0163036749046605
"p18","wecc","2042",0.0163036749046605
"p18","wecc","2043",0.0163036749046605
"p18","wecc","2044",0.0163036749046605
"p18","wecc","2045",0.0163036749046605
"p18","wecc","2046",0.0163036749046605
"p18","wecc","2047",0.0163036749046605
"p18","wecc","2048",0.0163036749046605
"p18","wecc","2049",0.0163036749046605
"p18","wecc","2050",0.0163036749046605
"p36","east","2010",0.056925205470409
"p36","east","2011",0.0967074657787175
"p36","east","2012",0.0735225745624848
"p36","east","2013",0.106866187637737
"p36","east","2014",0.0149325439568529
"p36","east","2015",0.00618752974773917
"p36","east","2016",0.00800711743761556
"p36","east","2017",0.029225836005497
"p36","east","2018",0.0386419544064775
"p36","east","2019",0.0713586886925343
"p36","east","2020",0.0571308169285413
"p36","east","2021",0.0934426930083777
"p36","east","2022",0.138426225648873
"p36","east","2023",0.10568683251263
"p36","east","2024",0.107105707443689
"p36","east","2025",0.107837971429177
"p36","east","2026",0.16467112015007
"p36","east","2027",0.107103374591496
"p36","east","2028",0.0580234920074185
"p36","east","2029",0.068187805871129
"p36","east","2030",0.0712160976230033
"p36","east","2031",0.0702361764415644
"p36","east","2032",0.0711563214656153
"p36","east","2033",0.0715394038383013
"p36","east","2034",0.0718547761216004
"p36","east","2035",0.0719149751295097
"p36","east","2036",0.0740309493663156
"p36","east","2037",0.0985047975095036
"p36","east","2038",0.0795812879945385
"p36","east","2039",0.0773465642628968
"p36","east","2040",0.0716512597426137
"p36","east","2041",0.0716512597426137
"p36","east","2042",0.0716512597426137
"p36","east","2043",0.0716512597426137
"p36","east","2044",0.0716512597426137
"p36","east","2045",0.0716512597426137
"p36","east","2046",0.0716512597426137
"p36","east","2047",0.0716512597426137
"p36","east","2048",0.0716512597426137
"p36","east","2049",0.0716512597426137
"p36","east","2050",0.0716512597426137
"p37","east","2010",0.0203517477362497
"p37","east","2011",0.0206780783745981
"p37","east","2012",0.165381210469858
"p37","east","2013",0.0497765913679114
"p37","east","2014",0.065894596542345
"p37","east","2015",0.0261780104712042
"p37","east","2016",0.0146797153022952
"p37","east","2020",0.167751958207078
"p37","east","2021",0.117862643024126
"p37","east","2022",0.11150699691692
"p37","east","2023",0.122417183602993
"p37","east","2024",0.123904315336831
"p37","east","2025",0.129347654089784
"p37","east","2026",0.0412138311109774
"p37","east","2027",0.0862933699269507
"p37","east","2028",0.104514976324567
"p37","east","2029",0.0340939029355645
"p37","east","2030",0.0356080488115016
"p37","east","2031",0.0351180882207822
"p37","east","2032",0.0355781607328076
"p37","east","2033",0.0357697019191507
"p37","east","2034",0.0359273880608002
"p37","east","2035",0.0359574875647548
"p37","east","2036",0.0347722359512594
"p37","east","2037",0.0335933827997632
"p37","east","2038",0.0347070966483534
"p37","east","2039",0.0351822445209246
"p37","east","2040",0.0344027551205365
"p37","east","2041",0.0344027551205365
"p37","east","2042",0.0344027551205365
"p37","east","2043",0.0344027551205365
"p37","east","2044",0.0344027551205365
"p37","east","2045",0.0344027551205365
"p37","east","2046",0.0344027551205365
"p37","east","2047",0.0344027551205365
"p37","east","2048",0.0344027551205365
"p37","east","2049",0.0344027551205365
"p37","east","2050",0.0344027551205365
"p42","east","2010",0.0203517477362497
"p42","east","2011",0.0206780783745981
"p42","east","2012",0.165381210469858
"p42","east","2013",0.0497765913679114
"p42","east","2014",0.065894596542345
"p42","east","2015",0.0261780104712042
