"Dim1","Dim2","Dim3","Val"
"p37","east","2023",0.140778450935426
"p37","east","2024",0.132261415561574
"p37","east","2025",0.142311354838193
"p37","east","2026",0.133500531322988
"p37","east","2027",0.147099723153425
"p37","east","2028",0.143670409403521
"p37","east","2029",0.167109806459582
"p37","east","2030",0.164962362771746
"p37","east","2031",0.17330764312992
"p37","east","2032",0.166219842423066
"p37","east","2033",0.17018966029621
"p37","east","2034",0.167287868785029
"p37","east","2035",0.172014955047227
"p37","east","2036",0.177935586016544
"p37","east","2037",0.17837725696588
"p37","east","2038",0.177482771624995
"p37","east","2039",0.177252851813022
"p37","east","2040",0.182743022818178
"p37","east","2041",0.182743022818178
"p37","east","2042",0.182743022818178
"p37","east","2043",0.182743022818178
"p37","east","2044",0.182743022818178
"p37","east","2045",0.182743022818178
"p37","east","2046",0.182743022818178
"p37","east","2047",0.182743022818178
"p37","east","2048",0.182743022818178
"p37","east","2049",0.182743022818178
"p37","east","2050",0.182743022818178
"p42","east","2010",0.117927246027735
"p42","east","2011",0.112754284544795
"p42","east","2012",0.0860639399524612
"p42","east","2013",0.0942109273006405
"p42","east","2014",0.0834668736834233
"p42","east","2015",0.084694833955121
"p42","east","2016",0.0849379656875398
"p42","east","2017",0.09451316616309
"p42","east","2018",0.0914670759233659
"p42","east","2019",0.0955490218454896
"p42","east","2020",0.115045215334177
"p42","east","2021",0.128095485258568
"p42","east","2022",0.135095186298676
"p42","east","2023",0.140778450935426
"p42","east","2024",0.132261415561574
"p42","east","2025",0.142311354838193
"p42","east","2026",0.133500531322988
"p42","east","2027",0.147099723153425
"p42","east","2028",0.143670409403521
"p42","east","2029",0.167109806459582
"p42","east","2030",0.164962362771746
"p42","east","2031",0.17330764312992
"p42","east","2032",0.166219842423066
"p42","east","2033",0.17018966029621
"p42","east","2034",0.167287868785029
"p42","east","2035",0.172014955047227
"p42","east","2036",0.177935586016544
"p42","east","2037",0.17837725696588
"p42","east","2038",0.177482771624995
"p42","east","2039",0.177252851813022
"p42","east","2040",0.182743022818178
"p42","east","2041",0.182743022818178
"p42","east","2042",0.182743022818178
"p42","east","2043",0.182743022818178
"p42","east","2044",0.182743022818178
"p42","east","2045",0.182743022818178
"p42","east","2046",0.182743022818178
"p42","east","2047",0.182743022818178
"p42","east","2048",0.182743022818178
"p42","east","2049",0.182743022818178
"p42","east","2050",0.182743022818178
"p103","east","2010",0.145833463332855
"p103","east","2011",0.132896852107633
"p103","east","2012",0.147815479059884
"p103","east","2013",0.0836526939230242
"p103","east","2014",0.166353362957608
"p103","east","2015",0.18508444673148
"p103","east","2016",0.176277252938241
"p103","east","2017",0.121815659856162
"p103","east","2018",0.097243062552231
"p103","east","2019",0.0800142333883083
"p103","east","2020",0.0678556951036207
"p103","east","2021",0.0600026080784829
"p103","east","2022",0.0218725434622115
"p103","east","2023",0.0133409102844993
"p103","east","2024",0.0303621917834915
"p103","east","2026",0.0114805325842195
"p103","east","2027",0.0241354369326335
"p103","east","2028",0.0542060819613981
"p103","east","2029",0.03561423604101
"p103","east","2030",0.0509113359876152
"p103","east","2031",0.0233838543050227
"p103","east","2032",0.0514114941253354
"p103","east","2033",0.0503123725462842
"p103","east","2034",0.0652501232411342
"p103","east","2035",0.0598971827839668
"p103","east","2036",0.0600695955499488
"p103","east","2037",0.0607475491224378
"p103","east","2038",0.061060145992588
"p103","east","2039",0.0613929398049999
"p103","east","2040",0.0556412177554632
"p103","east","2041",0.0556412177554632
"p103","east","2042",0.0556412177554632
"p103","east","2043",0.0556412177554632
"p103","east","2044",0.0556412177554632
"p103","east","2045",0.0556412177554632
"p103","east","2046",0.0556412177554632
"p103","east","2047",0.0556412177554632
"p103","east","2048",0.0556412177554632
"p103","east","2049",0.0556412177554632
"p103","east","2050",0.0556412177554632
"p127","east","2010",0.293218254376824
"p127","east","2011",0.292820368056583
"p127","east","2012",0.319181486782261
"p127","east","2013",0.272148821396713
"p127","east","2014",0.319482985193576
"p127","east","2015",0.329247299909948
"p127","east","2016",0.322779183143187
"p127","east","2017",0.296479272089129
"p127","east","2018",0.289333734311176
"p127","east","2019",0.285678931125106
"p127","east","2020",0.270257135002236
"p127","east","2021",0.261460859527478
"p127","east","2022",0.243231221061824
"p127","east","2023",0.236285195839115
"p127","east","2024",0.247990936047809
"p127","east","2025",0.229594816674017
"p127","east","2026",0.239891904854604
"p127","east","2027",0.237921798347909
"p127","east","2028",0.24894215428997
"p127","east","2029",0.226904268483721
"p127","east","2030",0.232575439694699
"p127","east","2031",0.21738480460929
"p127","east","2032",0.231773201478028
"p127","east","2033",0.228557371527071
"p127","east","2034",0.235552807244952
"p127","east","2035",0.230335395621041
"p127","east","2036",0.226314681443727
"p127","east","2037",0.225533478673268
