"OBJECTID","Country","Name of Line","Owner Name (Company)","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","State or Province From","Country From","State or Province To","Country To","Number of Lines","Line Voltage (kV)","Source Agency","Reference Period"
"32","Canada","Fort Frances IPL","Hydro One Networks Inc.","48.6098905","-93.4047751","Fort Frances","","Ontario","","","Ontario","Canada","Minnesota","United States","2","115(2)","NEB/ONÉ","201708"
"33","Canada","Lambton-St. Clair L4D IPL","Hydro One Networks Inc.","42.7902625","-82.4741563","Courtright","","Ontario","","","Ontario","Canada","Michigan","United States","1","345","NEB/ONÉ","201708"
"34","Canada","Lambton-St. Clair L51D IPL","Hydro One Networks Inc.","42.790008","-82.4740189","Courtright","","Ontario","","","Ontario","Canada","Michigan","United States","1","235","NEB/ONÉ","201708"
"35","Canada","Sarnia Scott-Bunce Creek B3N IPL","Hydro One Networks Inc.","42.9235086","-82.4563793","FroomField","","Ontario","","","Ontario","Canada","Michigan","United States","1","230","NEB/ONÉ","201708"
"36","Canada","Chateauguay-Massena IPL","Quebec Hydro - Hydro-Quebec","44.996954","-74.454147","Dundee","","Quebec","","","Quebec","Canada","New York","United States","1","765","NEB/ONÉ","201708"
"37","Canada","Bedford-Vermont IPL","Quebec Hydro - Hydro-Quebec","45.0141662","-72.9679949","Saint-Armand","","Quebec","","","Quebec","Canada","Vermont","United States","1","120","NEB/ONÉ","201708"
"38","Canada","Derby Line IPL","Quebec Hydro - Hydro-Quebec","45.0056411","-72.1092725","Stanstead","","Quebec","","","Quebec","Canada","Vermont","United States","1","120","NEB/ONÉ","201708"
"39","Canada","Des Cantons IPL","Quebec Hydro - Hydro-Quebec","45.011385","-71.73654","Dixville","","Quebec","","","Quebec","Canada","Vermont","United States","1","450","NEB/ONÉ","201708"
"40","Canada","Boundary Dam-Tioga IPL","Saskatchewan Power Corporation","48.9993407","-103.0244027","Estevan","","Saskatchewan","","","Saskatchewan","Canada","North Dakota","United States","1","230","NEB/ONÉ","201708"
"41","Canada","Rainbow Bridge IPL","Canadian Niagara Power Inc.","43.090188","-79.0677","Niagara Falls","","Ontario","","","Ontario","Canada","New York","United States","13","12","NEB/ONÉ","201708"
"42","United States","Blaine","Bonnevill Power Authority","49.00191","-122.72414","Blaine","Whatcom","Washington","","","Washington","United States","British Columbia","Canada","2","500(2)","U.S. Department of Energy","2017"
"43","United States","","International Transmission Co","42.29625","-83.1026","Detroit","Wayne","Michigan","","","Michigan","United States","Ontario","Canada","1","230","U.S. Department of Energy","2017"
"44","United States","","Niagara Mohawk Corp, New York Power Authority","43.14151","-79.03015","Niagara, Devils Hole, Lewiston","Niagara","New York","","","New York","United States","Ontario","Canada","6","345(2)/230(1)/115(1)/69(2)","U.S. Department of Energy","2017"
"45","United States","","Niagara Mohawk Corp","43.0888252","-79.064917","Rainbow Bridge","Niagara","New York","","","New York","United States","Ontario","Canada","13","12(13)","U.S. Department of Energy","2017"
"46","United States","Peace Bridge","Niagara Mohawk Corp","42.9295808","-78.9016991","Buffalo (Peace Bridge)","Niagara","New York","","","New York","United States","Ontario","Canada","1","115","U.S. Department of Energy","2017"
"47","United States","","New York Power Authority","44.9984817","-74.785984","Massena, Long Sault","Saint Lawrence","New York","","","New York","United States","Ontario","Canada","2","230(2)","U.S. Department of Energy","2017"
"48","United States","","New York Power Authority","44.9960505","-74.4582666","Massena","Saint Lawrence","New York","","","New York","United States","Quebec","Canada","1","765","U.S. Department of Energy","2017"
"49","United States","","Joint Owners of the Highgate","45.0096","-72.9706","Highgate (Franklin)","Franklin","Vermont","","","Vermont","United States","Quebec","Canada","1","120","U.S. Department of Energy","2017"
"50","United States","","Vermont Electric Power Co","45.00384","-72.10863","Derby","Orleans","Vermont","","","Vermont","United States","Quebec","Canada","1","120","U.S. Department of Energy","2017"
"51","United States","","Vermont Electric Transmission","45.01087","-71.73672","Norton","Essex","Vermont","","","Vermont","United States","Quebec","Canada","1","450DCLine","U.S. Department of Energy","2017"
