county,state,resource_region,reeds_ba
Pontotoc,MS,263,p88
Prentiss,MS,263,p88
Tippah,MS,263,p88
Tishomingo,MS,263,p88
Union,MS,263,p88
Webster,MS,263,p88
Winston,MS,263,p88
Yalobusha,MS,263,p88
Bibb,AL,265,p89
Choctaw,AL,265,p89
Colbert,AL,265,p89
Cullman,AL,265,p89
DeKalb,AL,265,p89
Fayette,AL,265,p89
Franklin,AL,265,p89
Greene,AL,265,p89
Hale,AL,265,p89
Jackson,AL,265,p89
Lamar,AL,265,p89
Lauderdale,AL,265,p89
Lawrence,AL,265,p89
Limestone,AL,265,p89
Madison,AL,265,p89
Marengo,AL,265,p89
Marion,AL,265,p89
Marshall,AL,265,p89
Morgan,AL,265,p89
Perry,AL,265,p89
Pickens,AL,265,p89
Sumter,AL,265,p89
Tuscaloosa,AL,265,p89
Walker,AL,265,p89
Wilcox,AL,265,p89
Winston,AL,265,p89
Jefferson,AL,266,p89
Shelby,AL,266,p89
Autauga,AL,267,p90
Baldwin,AL,267,p90
Barbour,AL,267,p90
Blount,AL,267,p90
Bullock,AL,267,p90
Butler,AL,267,p90
Calhoun,AL,267,p90
Chambers,AL,267,p90
Cherokee,AL,267,p90
Chilton,AL,267,p90
Clarke,AL,267,p90
Clay,AL,267,p90
Cleburne,AL,267,p90
Coffee,AL,267,p90
Conecuh,AL,267,p90
Coosa,AL,267,p90
Covington,AL,267,p90
Crenshaw,AL,267,p90
Dale,AL,267,p90
Dallas,AL,267,p90
Elmore,AL,267,p90
Escambia,AL,267,p90
Etowah,AL,267,p90
Geneva,AL,267,p90
Henry,AL,267,p90
Houston,AL,267,p90
Lee,AL,267,p90
Lowndes,AL,267,p90
Macon,AL,267,p90
Monroe,AL,267,p90
Montgomery,AL,267,p90
Pike,AL,267,p90
Randolph,AL,267,p90
Russell,AL,267,p90
St. Clair,AL,267,p90
Saint Clair,AL,267,p90
Talladega,AL,267,p90
Tallapoosa,AL,267,p90
Washington,AL,267,p90
Mobile,AL,268,p90
Escambia,FL,269,p91
Santa Rosa,FL,269,p91
Calhoun,FL,270,p91
Gulf,FL,270,p91
Holmes,FL,270,p91
Jackson,FL,270,p91
Okaloosa,FL,270,p91
Walton,FL,270,p91
Washington,FL,270,p91
Bay,FL,271,p91
Fayette,TN,276,p92
Shelby,TN,276,p92
Tipton,TN,276,p92
Benton,TN,277,p92
Carroll,TN,277,p92
Chester,TN,277,p92
Crockett,TN,277,p92
Decatur,TN,277,p92
Dyer,TN,277,p92
Gibson,TN,277,p92
Giles,TN,277,p92
Hardeman,TN,277,p92
Hardin,TN,277,p92
Haywood,TN,277,p92
Henderson,TN,277,p92
Henry,TN,277,p92
Hickman,TN,277,p92
Houston,TN,277,p92
Humphreys,TN,277,p92
Lake,TN,277,p92
Lauderdale,TN,277,p92
Lawrence,TN,277,p92
Lewis,TN,277,p92
Madison,TN,277,p92
Maury,TN,277,p92
McNairy,TN,277,p92
Obion,TN,277,p92
Perry,TN,277,p92
Stewart,TN,277,p92
Wayne,TN,277,p92
Weakley,TN,277,p92
Cheatham,TN,278,p92
Davidson,TN,278,p92
Dickson,TN,278,p92
Montgomery,TN,278,p92
Robertson,TN,278,p92
Rutherford,TN,278,p92
Sumner,TN,278,p92
Williamson,TN,278,p92
Wilson,TN,278,p92
Bedford,TN,279,p92
Bledsoe,TN,279,p92
Cannon,TN,279,p92
Clay,TN,279,p92
Coffee,TN,279,p92
Cumberland,TN,279,p92
DeKalb,TN,279,p92
Franklin,TN,279,p92
Grundy,TN,279,p92
Jackson,TN,279,p92
Lincoln,TN,279,p92
Macon,TN,279,p92
Marshall,TN,279,p92
Meigs,TN,279,p92
Moore,TN,279,p92
Overton,TN,279,p92
Putnam,TN,279,p92
Rhea,TN,279,p92
Smith,TN,279,p92
Trousdale,TN,279,p92
Van Buren,TN,279,p92
Warren,TN,279,p92
White,TN,279,p92
Bradley,TN,280,p92
Hamilton,TN,280,p92
Marion,TN,280,p92
Sequatchie,TN,280,p92
Anderson,TN,281,p92
Campbell,TN,281,p92
Claiborne,TN,281,p92
Fentress,TN,281,p92
Hancock,TN,281,p92
Morgan,TN,281,p92
Pickett,TN,281,p92
Scott,TN,281,p92
Union,TN,281,p92
Blount,TN,282,p92
Knox,TN,282,p92
Loudon,TN,282,p92
Roane,TN,282,p92
Mcminn,TN,283,p92
Monroe,TN,283,p92
Polk,TN,283,p92
Cocke,TN,284,p92
Grainger,TN,284,p92
Hamblen,TN,284,p92
Jefferson,TN,284,p92
Sevier,TN,284,p92
Carter,TN,285,p92
Greene,TN,285,p92
Hawkins,TN,285,p92
Johnson,TN,285,p92
Sullivan,TN,285,p92
Unicoi,TN,285,p92
Washington,TN,285,p92
Allen,KY,286,p93
Ballard,KY,286,p93
Butler,KY,286,p93
Calloway,KY,286,p93
Carlisle,KY,286,p93
Christian,KY,286,p93
Fulton,KY,286,p93
Graves,KY,286,p93
Hickman,KY,286,p93
Livingston,KY,286,p93
Logan,KY,286,p93
Lyon,KY,286,p93
Marshall,KY,286,p93
McCracken,KY,286,p93
Simpson,KY,286,p93
Todd,KY,286,p93
Trigg,KY,286,p93
Warren,KY,286,p93
Clinton,KY,287,p93
Cumberland,KY,287,p93
Mccreary,KY,287,p93
Metcalfe,KY,287,p93
Monroe,KY,287,p93
Pulaski,KY,287,p93
Russell,KY,287,p93
Wayne,KY,287,p93
Catoosa,GA,272,p94
Chattooga,GA,272,p94
Dade,GA,272,p94
Dawson,GA,272,p94
Fannin,GA,272,p94
Gilmer,GA,272,p94
Gordon,GA,272,p94
Habersham,GA,272,p94
Lumpkin,GA,272,p94
Murray,GA,272,p94
Pickens,GA,272,p94
Rabun,GA,272,p94
Stephens,GA,272,p94
Towns,GA,272,p94
Union,GA,272,p94
Walker,GA,272,p94
White,GA,272,p94
Whitfield,GA,272,p94
Carroll,GA,273,p94
Coweta,GA,273,p94
Floyd,GA,273,p94
Haralson,GA,273,p94
Harris,GA,273,p94
Heard,GA,273,p94
Meriwether,GA,273,p94
Polk,GA,273,p94
Talbot,GA,273,p94
Troup,GA,273,p94
Bartow,GA,274,p94
Cherokee,GA,274,p94
Clayton,GA,274,p94
Cobb,GA,274,p94
DeKalb,GA,274,p94
Douglas,GA,274,p94
Fayette,GA,274,p94
Forsyth,GA,274,p94
Fulton,GA,274,p94
Gwinnett,GA,274,p94
Henry,GA,274,p94
Paulding,GA,274,p94
Rockdale,GA,274,p94
Appling,GA,275,p94
Atkinson,GA,275,p94
Bacon,GA,275,p94
Baker,GA,275,p94
Baldwin,GA,275,p94
Banks,GA,275,p94
Barrow,GA,275,p94
Ben Hill,GA,275,p94
Berrien,GA,275,p94
Bibb,GA,275,p94
Bleckley,GA,275,p94
Brantley,GA,275,p94
Brooks,GA,275,p94
Bryan,GA,275,p94
Bulloch,GA,275,p94
Burke,GA,275,p94
Butts,GA,275,p94
Calhoun,GA,275,p94
Camden,GA,275,p94
Candler,GA,275,p94
Charlton,GA,275,p94
Chatham,GA,275,p94
Chattahoochee,GA,275,p94
Clarke,GA,275,p94
Clay,GA,275,p94
Clinch,GA,275,p94
Coffee,GA,275,p94
Colquitt,GA,275,p94
Columbia,GA,275,p94
Cook,GA,275,p94
Crawford,GA,275,p94
Crisp,GA,275,p94
Decatur,GA,275,p94
Dodge,GA,275,p94
Dooly,GA,275,p94
Dougherty,GA,275,p94
Early,GA,275,p94
Echols,GA,275,p94
Effingham,GA,275,p94
Elbert,GA,275,p94
Emanuel,GA,275,p94
Evans,GA,275,p94
Franklin,GA,275,p94
Glascock,GA,275,p94
Glynn,GA,275,p94
Grady,GA,275,p94
Greene,GA,275,p94
Hall,GA,275,p94
Hancock,GA,275,p94
Hart,GA,275,p94
Houston,GA,275,p94
Irwin,GA,275,p94
Jackson,GA,275,p94
Jasper,GA,275,p94
Jeff Davis,GA,275,p94
Jefferson,GA,275,p94
Jenkins,GA,275,p94
Johnson,GA,275,p94
Jones,GA,275,p94
Lamar,GA,275,p94
Lanier,GA,275,p94
Laurens,GA,275,p94
Lee,GA,275,p94
Liberty,GA,275,p94
Lincoln,GA,275,p94
Long,GA,275,p94
Lowndes,GA,275,p94
Macon,GA,275,p94
Madison,GA,275,p94
Marion,GA,275,p94
Mcduffie,GA,275,p94
McIntosh,GA,275,p94
Miller,GA,275,p94
Mitchell,GA,275,p94
Monroe,GA,275,p94
Montgomery,GA,275,p94
Morgan,GA,275,p94
Muscogee,GA,275,p94
Newton,GA,275,p94
Oconee,GA,275,p94
Oglethorpe,GA,275,p94
Peach,GA,275,p94
Pierce,GA,275,p94
Pike,GA,275,p94
Pulaski,GA,275,p94
Putnam,GA,275,p94
Quitman,GA,275,p94
Randolph,GA,275,p94
Richmond,GA,275,p94
Schley,GA,275,p94
Screven,GA,275,p94
Seminole,GA,275,p94
Spalding,GA,275,p94
Stewart,GA,275,p94
Sumter,GA,275,p94
Taliaferro,GA,275,p94
Tattnall,GA,275,p94
Taylor,GA,275,p94
Telfair,GA,275,p94
Terrell,GA,275,p94
Thomas,GA,275,p94
Tift,GA,275,p94
Toombs,GA,275,p94
Treutlen,GA,275,p94
Turner,GA,275,p94
Twiggs,GA,275,p94
Upson,GA,275,p94
Walton,GA,275,p94
Ware,GA,275,p94
Warren,GA,275,p94
Washington,GA,275,p94
Wayne,GA,275,p94
Webster,GA,275,p94
Wheeler,GA,275,p94
Wilcox,GA,275,p94
Wilkes,GA,275,p94
Wilkinson,GA,275,p94
Worth,GA,275,p94
Abbeville,SC,295,p95
Anderson,SC,295,p95
Cherokee,SC,295,p95
Chester,SC,295,p95
Greenville,SC,295,p95
Greenwood,SC,295,p95
Lancaster,SC,295,p95
Laurens,SC,295,p95
Oconee,SC,295,p95
Pickens,SC,295,p95
Spartanburg,SC,295,p95
Union,SC,295,p95
York,SC,295,p95
Calhoun,SC,296,p96
Fairfield,SC,296,p96
Kershaw,SC,296,p96
Lexington,SC,296,p96
Newberry,SC,296,p96
Richland,SC,296,p96
Aiken,SC,297,p96
Allendale,SC,297,p96
Bamberg,SC,297,p96
Barnwell,SC,297,p96
Beaufort,SC,297,p96
Colleton,SC,297,p96
Edgefield,SC,297,p96
Hampton,SC,297,p96
Hampton City,SC,297,p96
Jasper,SC,297,p96
McCormick,SC,297,p96
Orangeburg,SC,297,p96
Saluda,SC,297,p96
Chesterfield,SC,298,p96
Clarendon,SC,298,p96
Darlington,SC,298,p96
Dillon,SC,298,p96
Florence,SC,298,p96
Georgetown,SC,298,p96
Horry,SC,298,p96
Lee,SC,298,p96
Marion,SC,298,p96
Marlboro,SC,298,p96
Sumter,SC,298,p96
Williamsburg,SC,298,p96
Berkeley,SC,299,p96
Charleston,SC,299,p96
Dorchester,SC,299,p96
Alleghany,NC,288,p97
Ashe,NC,288,p97
Avery,NC,288,p97
Buncombe,NC,288,p97
Burke,NC,288,p97
Caldwell,NC,288,p97
Cherokee,NC,288,p97
Clay,NC,288,p97
Cleveland,NC,288,p97
Graham,NC,288,p97
Haywood,NC,288,p97
Henderson,NC,288,p97
Jackson,NC,288,p97
Macon,NC,288,p97
Madison,NC,288,p97
Mcdowell,NC,288,p97
Mitchell,NC,288,p97
Polk,NC,288,p97
Rutherford,NC,288,p97
Swain,NC,288,p97
Transylvania,NC,288,p97
Watauga,NC,288,p97
Wilkes,NC,288,p97
Yancey,NC,288,p97
Alexander,NC,289,p97
Davidson,NC,289,p97
Davie,NC,289,p97
Forsyth,NC,289,p97
Guilford,NC,289,p97
Iredell,NC,289,p97
Randolph,NC,289,p97
Rockingham,NC,289,p97
Rowan,NC,289,p97
Stokes,NC,289,p97
Surry,NC,289,p97
Yadkin,NC,289,p97
Anson,NC,290,p97
Cabarrus,NC,290,p97
Catawba,NC,290,p97
Gaston,NC,290,p97
Lincoln,NC,290,p97
Mecklenburg,NC,290,p97
Stanly,NC,290,p97
Union,NC,290,p97
Alamance,NC,291,p98
Caswell,NC,291,p98
Chatham,NC,291,p98
Durham,NC,291,p98
Franklin,NC,291,p98
Granville,NC,291,p98
Johnston,NC,291,p98
Orange,NC,291,p98
Person,NC,291,p98
Vance,NC,291,p98
Wake,NC,291,p98
Bladen,NC,292,p98
Brunswick,NC,292,p98
Columbus,NC,292,p98
Cumberland,NC,292,p98
Harnett,NC,292,p98
Hoke,NC,292,p98
Lee,NC,292,p98
Montgomery,NC,292,p98
Moore,NC,292,p98
Richmond,NC,292,p98
Robeson,NC,292,p98
Scotland,NC,292,p98
Bertie,NC,293,p98
Craven,NC,293,p98
Duplin,NC,293,p98
Edgecombe,NC,293,p98
Gates,NC,293,p98
Greene,NC,293,p98
Halifax,NC,293,p98
Hertford,NC,293,p98
Jones,NC,293,p98
Lenoir,NC,293,p98
Martin,NC,293,p98
Nash,NC,293,p98
New Hanover,NC,293,p98
Northampton,NC,293,p98
Onslow,NC,293,p98
Pender,NC,293,p98
Pitt,NC,293,p98
Sampson,NC,293,p98
Warren,NC,293,p98
Wayne,NC,293,p98
Wilson,NC,293,p98
Beaufort,NC,294,p98
Camden,NC,294,p98
Carteret,NC,294,p98
Chowan,NC,294,p98
Currituck,NC,294,p98
Dare,NC,294,p98
Hyde,NC,294,p98
Pamlico,NC,294,p98
Pasquotank,NC,294,p98
Perquimans,NC,294,p98
Tyrrell,NC,294,p98
Washington,NC,294,p98
Albemarle,VA,300,p99
Alleghany,VA,300,p99
Augusta,VA,300,p99
Bath,VA,300,p99
Buena Vista,VA,300,p99
Buena Vista City,VA,300,p99
Charlottesville,VA,300,p99
Charlottesville City,VA,300,p99
Covington,VA,300,p99
Covington City,VA,300,p99
Harrisonburg,VA,300,p99
Harrisonburg City,VA,300,p99
Highland,VA,300,p99
Lexington,VA,300,p99
Lexington City,VA,300,p99
Rockbridge,VA,300,p99
Rockingham,VA,300,p99
Shenandoah,VA,300,p99
Staunton,VA,300,p99
Staunton City,VA,300,p99
Waynesboro,VA,300,p99
Waynesboro City,VA,300,p99
Culpeper,VA,302,p99
Fauquier,VA,302,p99
Loudoun,VA,302,p99
Alexandria,VA,303,p99
Alexandria City,VA,303,p99
Arlington,VA,303,p99
Fairfax,VA,303,p99
Fairfax City,VA,303,p99
Falls Church,VA,303,p99
Falls Church City,VA,303,p99
Manassas,VA,303,p99
Manassas City,VA,303,p99
Manassas Park,VA,303,p99
Manassas Park City,VA,303,p99
Prince William,VA,303,p99
Stafford,VA,303,p99
Amelia,VA,304,p99
Appomattox,VA,304,p99
Brunswick,VA,304,p99
Buckingham,VA,304,p99
Campbell,VA,304,p99
Charlotte,VA,304,p99
Cumberland,VA,304,p99
Danville,VA,304,p99
Danville City,VA,304,p99
Dinwiddie,VA,304,p99
Emporia,VA,304,p99
Emporia City,VA,304,p99
Fluvanna,VA,304,p99
Franklin City,VA,304,p99
Fredericksburg,VA,304,p99
Fredericksburg City,VA,304,p99
Goochland,VA,304,p99
Greensville,VA,304,p99
Halifax,VA,304,p99
Louisa,VA,304,p99
Lunenburg,VA,304,p99
Mecklenburg,VA,304,p99
Nottoway,VA,304,p99
Orange,VA,304,p99
Pittsylvania,VA,304,p99
Powhatan,VA,304,p99
Prince Edward,VA,304,p99
Southampton,VA,304,p99
Spotsylvania,VA,304,p99
Sussex,VA,304,p99
Caroline,VA,305,p99
Essex,VA,305,p99
Gloucester,VA,305,p99
James City,VA,305,p99
King and Queen,VA,305,p99
King & Queen,VA,305,p99
King George,VA,305,p99
King William,VA,305,p99
Lancaster,VA,305,p99
Mathews,VA,305,p99
Middlesex,VA,305,p99
Northumberland,VA,305,p99
Richmond,VA,305,p99
Westmoreland,VA,305,p99
Williamsburg,VA,305,p99
Williamsburg City,VA,305,p99
Charles City,VA,306,p99
Chesterfield,VA,306,p99
Colonial Heights,VA,306,p99
Colonial Heights City,VA,306,p99
Hanover,VA,306,p99
Henrico,VA,306,p99
Hopewell,VA,306,p99
Hopewell City,VA,306,p99
New Kent,VA,306,p99
Petersburg,VA,306,p99
Petersburg City,VA,306,p99
Prince George,VA,306,p99
Richmond City,VA,306,p99
Chesapeake,VA,307,p99
Chesapeake City,VA,307,p99
Hampton,VA,307,p99
Hampton City,VA,307,p99
Isle of Wight,VA,307,p99
Newport News,VA,307,p99
Newport News City,VA,307,p99
Norfolk,VA,307,p99
Norfolk City,VA,307,p99
Poquoson,VA,307,p99
Poquoson City,VA,307,p99
Portsmouth,VA,307,p99
Portsmouth City,VA,307,p99
Suffolk,VA,307,p99
Suffolk City,VA,307,p99
Surry,VA,307,p99
Virginia Beach,VA,307,p99
Virginia Beach City,VA,307,p99
York,VA,307,p99
Clarke,VA,301,p100
Frederick,VA,301,p100
Greene,VA,301,p100
Madison,VA,301,p100
Page,VA,301,p100
Rappahannock,VA,301,p100
Warren,VA,301,p100
Winchester,VA,301,p100
Winchester City,VA,301,p100
Alachua,FL,309,p101
Baker,FL,309,p101
Bradford,FL,309,p101
Citrus,FL,309,p101
Clay,FL,309,p101
Columbia,FL,309,p101
Dixie,FL,309,p101
Flagler,FL,309,p101
Franklin,FL,309,p101
Gadsden,FL,309,p101
Gilchrist,FL,309,p101
Hamilton,FL,309,p101
Jefferson,FL,309,p101
Lafayette,FL,309,p101
Leon,FL,309,p101
Levy,FL,309,p101
Liberty,FL,309,p101
Madison,FL,309,p101
Marion,FL,309,p101
Putnam,FL,309,p101
Suwannee,FL,309,p101
Taylor,FL,309,p101
Union,FL,309,p101
Wakulla,FL,309,p101
Duval,FL,310,p101
Nassau,FL,310,p101
St. Johns,FL,310,p101
Saint Johns,FL,310,p101
Hernando,FL,311,p101
Hillsborough,FL,311,p101
Lake,FL,311,p101
Orange,FL,311,p101
Osceola,FL,311,p101
Pasco,FL,311,p101
Pinellas,FL,311,p101
Polk,FL,311,p101
Seminole,FL,311,p101
Sumter,FL,311,p101
Volusia,FL,311,p101
Charlotte,FL,312,p101
Collier,FL,312,p101
DeSoto,FL,312,p101
Glades,FL,312,p101
Hardee,FL,312,p101
Hendry,FL,312,p101
Highlands,FL,312,p101
Lee,FL,312,p101
Manatee,FL,312,p101
Monroe,FL,312,p101
Okeechobee,FL,312,p101
Sarasota,FL,312,p101
Brevard,FL,313,p102
Broward,FL,313,p102
Indian River,FL,313,p102
Martin,FL,313,p102
Miami-Dade,FL,313,p102
Miami Dade,FL,313,p102
Palm Beach,FL,313,p102
St. Lucie,FL,313,p102
Saint Lucie,FL,313,p102
Chippewa,MI,211,p103
Luce,MI,211,p103
Mackinac,MI,211,p103
Schoolcraft,MI,211,p103
Allegan,MI,212,p103
Benzie,MI,212,p103
Lake,MI,212,p103
Leelanau,MI,212,p103
Manistee,MI,212,p103
Mason,MI,212,p103
Muskegon,MI,212,p103
Newaygo,MI,212,p103
Oceana,MI,212,p103
Ottawa,MI,212,p103
Antrim,MI,214,p103
Charlevoix,MI,214,p103
Cheboygan,MI,214,p103
Clare,MI,214,p103
Crawford,MI,214,p103
Emmet,MI,214,p103
Gladwin,MI,214,p103
Grand Traverse,MI,214,p103
Isabella,MI,214,p103
Kalkaska,MI,214,p103
Mecosta,MI,214,p103
Midland,MI,214,p103
Missaukee,MI,214,p103
Ogemaw,MI,214,p103
Osceola,MI,214,p103
Oscoda,MI,214,p103
Otsego,MI,214,p103
Roscommon,MI,214,p103
Wexford,MI,214,p103
Barry,MI,215,p103
Branch,MI,215,p103
Calhoun,MI,215,p103
Clinton,MI,215,p103
Eaton,MI,215,p103
Gratiot,MI,215,p103
Hillsdale,MI,215,p103
Ingham,MI,215,p103
Ionia,MI,215,p103
Jackson,MI,215,p103
Kent,MI,215,p103
Lenawee,MI,215,p103
Montcalm,MI,215,p103
Alcona,MI,216,p103
Alpena,MI,216,p103
Arenac,MI,216,p103
Iosco,MI,216,p103
Montmorency,MI,216,p103
Presque Isle,MI,216,p103
Bay,MI,217,p103
Genesee,MI,217,p103
Lapeer,MI,217,p103
Livingston,MI,217,p103
Macomb,MI,217,p103
Monroe,MI,217,p103
Oakland,MI,217,p103
Saginaw,MI,217,p103
Shiawassee,MI,217,p103
Washtenaw,MI,217,p103
Wayne,MI,217,p103
Huron,MI,218,p103
Sanilac,MI,218,p103
St. Clair,MI,218,p103
Saint Clair,MI,218,p103
Tuscola,MI,218,p103
Berrien,MI,213,p104
Cass,MI,213,p104
Kalamazoo,MI,213,p104
St. Joseph,MI,213,p104
Saint Joseph,MI,213,p104
Van Buren,MI,213,p104
Lake,IN,219,p105
LaPorte,IN,219,p105
Porter,IN,219,p105
Elkhart,IN,220,p105
St. Joseph,IN,220,p105
Saint Joseph,IN,220,p105
Benton,IN,221,p105
Fountain,IN,221,p105
Fulton,IN,221,p105
Hendricks,IN,221,p105
Jasper,IN,221,p105
Marshall,IN,221,p105
Montgomery,IN,221,p105
Newton,IN,221,p105
Parke,IN,221,p105
Pulaski,IN,221,p105
Putnam,IN,221,p105
Starke,IN,221,p105
Vermillion,IN,221,p105
Vigo,IN,221,p105
Warren,IN,221,p105
White,IN,221,p105
Boone,IN,222,p105
Carroll,IN,222,p105
Clinton,IN,222,p105
Tippecanoe,IN,222,p105
DeKalb,IN,225,p105
Kosciusko,IN,225,p105
LaGrange,IN,225,p105
Noble,IN,225,p105
Steuben,IN,225,p105
Whitley,IN,225,p105
Adams,IN,226,p105
Allen,IN,226,p105
Blackford,IN,226,p105
Cass,IN,226,p105
Delaware,IN,226,p105
Grant,IN,226,p105
Hancock,IN,226,p105
Howard,IN,226,p105
Huntington,IN,226,p105
Jay,IN,226,p105
Madison,IN,226,p105
Miami,IN,226,p105
Randolph,IN,226,p105
Tipton,IN,226,p105
Wabash,IN,226,p105
Wells,IN,226,p105
Hamilton,IN,223,p106
Marion,IN,223,p106
Bartholomew,IN,224,p107
Brown,IN,224,p107
Clark,IN,224,p107
Clay,IN,224,p107
Crawford,IN,224,p107
Daviess,IN,224,p107
Dearborn,IN,224,p107
Decatur,IN,224,p107
Dubois,IN,224,p107
Fayette,IN,224,p107
Floyd,IN,224,p107
Franklin,IN,224,p107
Gibson,IN,224,p107
Greene,IN,224,p107
Harrison,IN,224,p107
Henry,IN,224,p107
Jackson,IN,224,p107
Jefferson,IN,224,p107
Jennings,IN,224,p107
Johnson,IN,224,p107
Knox,IN,224,p107
Lawrence,IN,224,p107
Martin,IN,224,p107
Monroe,IN,224,p107
Morgan,IN,224,p107
Ohio,IN,224,p107
Orange,IN,224,p107
Owen,IN,224,p107
Perry,IN,224,p107
Pike,IN,224,p107
Posey,IN,224,p107
Ripley,IN,224,p107
Rush,IN,224,p107
Scott,IN,224,p107
Shelby,IN,224,p107
Spencer,IN,224,p107
Sullivan,IN,224,p107
Switzerland,IN,224,p107
Union,IN,224,p107
Vanderburgh,IN,224,p107
Warrick,IN,224,p107
Washington,IN,224,p107
Wayne,IN,224,p107
Breckinridge,KY,236,p108
Caldwell,KY,236,p108
Crittenden,KY,236,p108
Daviess,KY,236,p108
Grayson,KY,236,p108
Hancock,KY,236,p108
Henderson,KY,236,p108
Hopkins,KY,236,p108
McLean,KY,236,p108
Muhlenberg,KY,236,p108
Ohio,KY,236,p108
Union,KY,236,p108
Webster,KY,236,p108
Bullitt,KY,237,p109
Hardin,KY,237,p109
Jefferson,KY,237,p109
Meade,KY,237,p109
Oldham,KY,237,p109
Trimble,KY,237,p109
Bath,KY,238,p109
Boone,KY,238,p109
Bracken,KY,238,p109
Campbell,KY,238,p109
Carroll,KY,238,p109
Elliott,KY,238,p109
Fleming,KY,238,p109
Franklin,KY,238,p109
Gallatin,KY,238,p109
Grant,KY,238,p109
Greenup,KY,238,p109
Harrison,KY,238,p109
Henry,KY,238,p109
Johnson,KY,238,p109
Kenton,KY,238,p109
Lewis,KY,238,p109
Magoffin,KY,238,p109
Mason,KY,238,p109
Menifee,KY,238,p109
Montgomery,KY,238,p109
Morgan,KY,238,p109
Nicholas,KY,238,p109
Owen,KY,238,p109
Pendleton,KY,238,p109
Robertson,KY,238,p109
Rowan,KY,238,p109
Wolfe,KY,238,p109
Bourbon,KY,239,p109
Clark,KY,239,p109
Fayette,KY,239,p109
Jessamine,KY,239,p109
Scott,KY,239,p109
Woodford,KY,239,p109
Adair,KY,240,p109
Anderson,KY,240,p109
Barren,KY,240,p109
Boyle,KY,240,p109
Casey,KY,240,p109
Clay,KY,240,p109
Edmonson,KY,240,p109
Estill,KY,240,p109
Garrard,KY,240,p109
Green,KY,240,p109
Hart,KY,240,p109
Jackson,KY,240,p109
Larue,KY,240,p109
Laurel,KY,240,p109
Lee,KY,240,p109
Lincoln,KY,240,p109
Madison,KY,240,p109
Marion,KY,240,p109
Mercer,KY,240,p109
Nelson,KY,240,p109
Owsley,KY,240,p109
Powell,KY,240,p109
Rockcastle,KY,240,p109
Shelby,KY,240,p109
Spencer,KY,240,p109
Taylor,KY,240,p109
Washington,KY,240,p109
Bell,KY,241,p109
Harlan,KY,241,p109
Knox,KY,241,p109
Whitley,KY,241,p109
Boyd,KY,242,p110
Breathitt,KY,242,p110
Carter,KY,242,p110
Floyd,KY,242,p110
Knott,KY,242,p110
Lawrence,KY,242,p110
Leslie,KY,242,p110
Letcher,KY,242,p110
Martin,KY,242,p110
Perry,KY,242,p110
Pike,KY,242,p110
Fulton,OH,227,p111
Lucas,OH,227,p111
Ottawa,OH,227,p111
Sandusky,OH,227,p111
Wood,OH,227,p111
Ashtabula,OH,234,p111
Columbiana,OH,234,p111
Cuyahoga,OH,234,p111
Erie,OH,234,p111
Geauga,OH,234,p111
Lake,OH,234,p111
Lorain,OH,234,p111
Mahoning,OH,234,p111
Medina,OH,234,p111
Portage,OH,234,p111
Stark,OH,234,p111
Summit,OH,234,p111
Trumbull,OH,234,p111
Allen,OH,228,p112
Auglaize,OH,228,p112
Champaign,OH,228,p112
Crawford,OH,228,p112
Darke,OH,228,p112
Defiance,OH,228,p112
Hancock,OH,228,p112
Hardin,OH,228,p112
Henry,OH,228,p112
Huron,OH,228,p112
Knox,OH,228,p112
Logan,OH,228,p112
Marion,OH,228,p112
Mercer,OH,228,p112
Morrow,OH,228,p112
Paulding,OH,228,p112
Putnam,OH,228,p112
Seneca,OH,228,p112
Shelby,OH,228,p112
Van Wert,OH,228,p112
Williams,OH,228,p112
Wyandot,OH,228,p112
Delaware,OH,229,p112
Fairfield,OH,229,p112
Franklin,OH,229,p112
Licking,OH,229,p112
Pickaway,OH,229,p112
Union,OH,229,p112
Adams,OH,232,p112
Athens,OH,232,p112
Gallia,OH,232,p112
Highland,OH,232,p112
Hocking,OH,232,p112
Jackson,OH,232,p112
Lawrence,OH,232,p112
Meigs,OH,232,p112
Pike,OH,232,p112
Ross,OH,232,p112
Scioto,OH,232,p112
Vinton,OH,232,p112
Ashland,OH,233,p112
Richland,OH,233,p112
Belmont,OH,235,p112
Carroll,OH,235,p112
Coshocton,OH,235,p112
Guernsey,OH,235,p112
Harrison,OH,235,p112
Holmes,OH,235,p112
Jefferson,OH,235,p112
Monroe,OH,235,p112
Morgan,OH,235,p112
Muskingum,OH,235,p112
Noble,OH,235,p112
Perry,OH,235,p112
Tuscarawas,OH,235,p112
Washington,OH,235,p112
Wayne,OH,235,p112
Clark,OH,230,p113
Clinton,OH,230,p113
Fayette,OH,230,p113
Greene,OH,230,p113
Madison,OH,230,p113
Miami,OH,230,p113
Montgomery,OH,230,p113
Preble,OH,230,p113
Brown,OH,231,p114
Butler,OH,231,p114
Clermont,OH,231,p114
Hamilton,OH,231,p114
Warren,OH,231,p114
Allegheny,PA,251,p115
Beaver,PA,251,p115
Armstrong,PA,252,p115
Butler,PA,252,p115
Fayette,PA,252,p115
Greene,PA,252,p115
Washington,PA,252,p115
Westmoreland,PA,252,p115
Barbour,WV,249,p116
Braxton,WV,249,p116
Brooke,WV,249,p116
Calhoun,WV,249,p116
Clay,WV,249,p116
Doddridge,WV,249,p116
Gilmer,WV,249,p116
