2010,188076976
2011,188076976
2012,165184246
2013,165184246
2014,91000000
2015,88725000
2016,86506875
2017,84344203
2018,82235598
2019,80363945
2020,96354847
2021,119767784
2022,116112784
2023,112457784
2024,84162784
2025,81347784
2026,78532784
2027,75717784
2028,72902784
2029,70087784
2030,67272784
2031,67272784
2032,67272784
2033,67272784
2034,67272784
2035,67272784
2036,67272784
2037,67272784
2038,67272784
2039,67272784
2040,67272784
2041,67272784
2042,67272784
2043,67272784
2044,67272784
2045,67272784
2046,67272784
2047,67272784
2048,67272784
2049,67272784
2050,67272784
