i,r,t,Value
CoalOldScr,p101,2010,31058925.680631
CoalOldScr,p101,2015,22108535.64206
CoalOldScr,p101,2020,2383806.24
CoalOldScr,p101,2023,10838923.632
CoalOldScr,p101,2026,6332874.13668
CoalOldScr,p101,2029,11878604.696363
CoalOldScr,p101,2038,0.0
CoalOldScr,p101,2041,0.0
CoalOldScr,p101,2044,1050.477764
CoalOldScr,p101,2047,35710.13876
CoalOldScr,p101,2050,35710.13876
CoalOldScr,p103,2010,21733535.780327
CoalOldScr,p103,2015,31127406.732477
CoalOldScr,p103,2020,14947763.297712
CoalOldScr,p103,2023,14642542.093492
CoalOldScr,p103,2026,9252547.990838
CoalOldScr,p103,2029,4428993.423323
CoalOldScr,p105,2010,18031789.06662
CoalOldScr,p105,2015,16664079.595857
CoalOldScr,p105,2020,13733738.220849
CoalOldScr,p105,2023,7643167.02528
CoalOldScr,p105,2026,6821039.95332
CoalOldScr,p105,2029,6765157.95936
CoalOldScr,p107,2010,44259808.248008
CoalOldScr,p107,2015,60728351.297146
CoalOldScr,p107,2020,35804529.716511
CoalOldScr,p107,2023,27345203.662678
CoalOldScr,p107,2026,26071997.644208
CoalOldScr,p107,2029,20019318.282337
CoalOldScr,p107,2041,301994.329133
CoalOldScr,p107,2044,231605.412424
CoalOldScr,p107,2047,322311.778109
CoalOldScr,p107,2050,284696.643751
CoalOldScr,p108,2010,13475054.229708
CoalOldScr,p108,2015,13183122.645045
CoalOldScr,p108,2020,2828328.354
CoalOldScr,p108,2023,2834095.464
CoalOldScr,p108,2026,2838383.892
CoalOldScr,p108,2029,2838361.374
CoalOldScr,p109,2010,15923013.209724
CoalOldScr,p109,2015,27460734.233006
CoalOldScr,p109,2020,13173072.198
CoalOldScr,p109,2023,13945099.064377
CoalOldScr,p109,2026,31411196.271608
CoalOldScr,p109,2029,20662059.425391
CoalOldScr,p109,2047,34762.598053
CoalOldScr,p109,2050,34762.598053
CoalOldScr,p111,2010,4433420.7585
CoalOldScr,p111,2015,4317203.7405
CoalOldScr,p111,2020,4137152.283
CoalOldScr,p111,2023,9198.0
CoalOldScr,p111,2026,9198.0
CoalOldScr,p111,2029,9198.0
CoalOldScr,p112,2010,28379962.764
CoalOldScr,p112,2015,32209888.935112
CoalOldScr,p112,2020,20165506.224
CoalOldScr,p112,2023,9179415.596391
CoalOldScr,p112,2026,14614820.275234
CoalOldScr,p112,2029,16484241.386978
CoalOldScr,p114,2010,16063515.5715
CoalOldScr,p114,2015,15958904.345685
CoalOldScr,p114,2020,14855281.75238
CoalOldScr,p114,2023,6853555.44
CoalOldScr,p114,2026,6735004.92
CoalOldScr,p115,2010,3892431.9
CoalOldScr,p115,2015,3853594.365
CoalOldScr,p115,2020,296964.0
CoalOldScr,p116,2010,37466836.728564
CoalOldScr,p116,2015,35578819.413168
CoalOldScr,p116,2020,2860315.2
CoalOldScr,p116,2023,20810127.580539
CoalOldScr,p116,2026,3184183.945376
CoalOldScr,p116,2029,6784816.520643
CoalOldScr,p116,2044,336000.779573
CoalOldScr,p116,2047,419829.831788
CoalOldScr,p116,2050,419829.831788
CoalOldScr,p117,2010,23418407.7714
CoalOldScr,p117,2015,18769839.0144
CoalOldScr,p117,2020,2206994.4
CoalOldScr,p117,2023,16635963.670876
CoalOldScr,p117,2026,3427757.352
CoalOldScr,p117,2029,9142951.79131
CoalOldScr,p12,2010,3590598.402
CoalOldScr,p12,2015,3561647.76
CoalOldScr,p12,2020,3359779.042018
CoalOldScr,p12,2023,309762.546394
CoalOldScr,p12,2026,1420813.662738
CoalOldScr,p12,2029,1238961.158232
CoalOldScr,p123,2010,17072743.569441
CoalOldScr,p123,2015,1302436.8
CoalOldScr,p123,2020,1302436.8
CoalOldScr,p123,2023,669088.8
CoalOldScr,p123,2026,669088.8
CoalOldScr,p123,2029,669088.8
CoalOldScr,p125,2015,215496.0
CoalOldScr,p125,2020,215496.0
CoalOldScr,p125,2023,215496.0
CoalOldScr,p125,2026,215496.0
CoalOldScr,p125,2029,215496.0
CoalOldScr,p126,2010,3187067.924532
CoalOldScr,p126,2015,243352.8
CoalOldScr,p126,2020,243352.8
CoalOldScr,p127,2010,4677841.83461
CoalOldScr,p127,2015,355515.84
CoalOldScr,p2,2010,9249851.16
