i,r,t,Value
gas-ct,p53,2044,1439252.682948
gas-ct,p53,2047,1977393.759544
gas-ct,p53,2050,1966408.719544
gas-ct,p54,2010,804535.92
gas-ct,p54,2015,804535.92
gas-ct,p54,2020,786875.76
gas-ct,p54,2023,786875.76
gas-ct,p54,2026,786875.76
gas-ct,p54,2029,721701.36
gas-ct,p54,2032,783330.541391
gas-ct,p54,2035,1505493.863794
gas-ct,p54,2038,1469647.943794
gas-ct,p54,2041,1644176.698172
gas-ct,p54,2044,1644176.698172
gas-ct,p54,2047,1640865.418172
gas-ct,p54,2050,1724457.904945
gas-ct,p55,2010,454759.058299
gas-ct,p55,2015,373701.6
gas-ct,p55,2020,373701.6
gas-ct,p55,2023,373701.6
gas-ct,p55,2026,373701.6
gas-ct,p55,2029,128772.0
gas-ct,p55,2032,151320.557647
gas-ct,p55,2035,510716.320308
gas-ct,p55,2038,510716.320308
gas-ct,p55,2041,510716.320308
gas-ct,p55,2044,471296.320308
gas-ct,p55,2047,429248.320308
gas-ct,p55,2050,381944.320308
gas-ct,p56,2010,852685.529369
gas-ct,p56,2015,377977.494226
gas-ct,p56,2020,696776.559554
gas-ct,p56,2023,786814.089405
gas-ct,p56,2026,234943.2
gas-ct,p56,2029,234943.2
gas-ct,p56,2032,308194.314665
gas-ct,p56,2035,308194.314665
gas-ct,p56,2038,308194.314665
gas-ct,p56,2041,308194.314665
gas-ct,p56,2044,308194.314665
gas-ct,p56,2047,308194.314665
gas-ct,p56,2050,308194.314665
gas-ct,p58,2010,1135171.341157
gas-ct,p58,2015,538477.2
gas-ct,p58,2020,2092882.150901
gas-ct,p58,2023,2196856.937392
gas-ct,p58,2026,896432.9131
gas-ct,p58,2029,831394.08
gas-ct,p58,2032,831394.08
gas-ct,p58,2035,831394.08
gas-ct,p58,2038,831394.08
gas-ct,p58,2041,831394.08
gas-ct,p58,2044,831394.08
gas-ct,p58,2047,831394.08
gas-ct,p58,2050,831394.08
gas-ct,p59,2010,132806.86629
gas-ct,p59,2015,1217612.896676
gas-ct,p59,2020,2773344.419304
gas-ct,p59,2023,4058714.943106
gas-ct,p59,2026,337855.68
gas-ct,p59,2029,337855.68
gas-ct,p59,2032,304742.88
gas-ct,p59,2035,304742.88
gas-ct,p59,2038,304742.88
gas-ct,p59,2041,304742.88
gas-ct,p59,2044,304742.88
gas-ct,p59,2047,304742.88
gas-ct,p59,2050,304742.88
gas-ct,p6,2010,81010.635912
gas-ct,p6,2015,52560.0
gas-ct,p6,2020,255418.814906
gas-ct,p6,2023,52560.0
gas-ct,p6,2026,52560.0
gas-ct,p6,2029,52560.0
gas-ct,p6,2032,52560.0
gas-ct,p6,2035,52560.0
gas-ct,p6,2038,52560.0
gas-ct,p6,2041,52560.0
gas-ct,p6,2044,52560.0
gas-ct,p6,2047,52560.0
gas-ct,p6,2050,52560.0
gas-ct,p60,2038,425983.011817
gas-ct,p60,2041,1292745.152727
gas-ct,p60,2044,1292745.152727
gas-ct,p60,2047,1292745.152727
gas-ct,p60,2050,1292745.152729
gas-ct,p61,2020,3665.295565
gas-ct,p61,2023,3563.67411
gas-ct,p61,2026,59918.4
gas-ct,p61,2029,59918.4
gas-ct,p61,2032,59918.4
gas-ct,p61,2035,59918.4
gas-ct,p61,2038,686786.298857
gas-ct,p61,2041,686786.298857
gas-ct,p61,2044,686786.298857
gas-ct,p61,2047,686786.298857
gas-ct,p61,2050,686786.298857
gas-ct,p62,2010,533410.447612
gas-ct,p62,2015,1235685.873234
gas-ct,p62,2020,1182283.017636
gas-ct,p62,2023,1253396.245825
gas-ct,p62,2026,346896.0
gas-ct,p62,2029,346896.0
gas-ct,p62,2032,346896.0
gas-ct,p62,2035,346896.0
gas-ct,p62,2038,346896.0
gas-ct,p62,2041,346896.0
gas-ct,p62,2044,246506.4
gas-ct,p62,2047,178704.0
gas-ct,p62,2050,178704.0
gas-ct,p63,2010,828466.414121
gas-ct,p63,2015,674174.688489
gas-ct,p63,2020,1413061.345876
gas-ct,p63,2023,1507595.407103
gas-ct,p63,2026,657840.96
gas-ct,p63,2029,864201.022509
gas-ct,p63,2032,864201.022509
gas-ct,p63,2035,864201.022509
gas-ct,p63,2038,998859.661328
gas-ct,p63,2041,2679182.905702
gas-ct,p63,2044,2679182.905702
gas-ct,p63,2047,2535168.505702
gas-ct,p63,2050,2425843.705702
gas-ct,p64,2010,1987881.749595
gas-ct,p64,2015,1876376.255103
gas-ct,p64,2020,2186242.988797
gas-ct,p64,2023,2282165.713747
gas-ct,p64,2026,708351.12
gas-ct,p64,2029,708351.12
gas-ct,p64,2032,697313.52
gas-ct,p64,2035,697313.52
gas-ct,p64,2038,697313.52
gas-ct,p64,2041,697313.52
gas-ct,p64,2044,587988.72
gas-ct,p64,2047,587988.72
gas-ct,p64,2050,587988.72
gas-ct,p65,2010,2893235.264732
gas-ct,p65,2015,3038584.441158
gas-ct,p65,2020,5611175.376202
gas-ct,p65,2023,6753421.975613
gas-ct,p65,2026,796809.6
gas-ct,p65,2029,1580284.305379
gas-ct,p65,2032,1580284.305379
gas-ct,p65,2035,1580284.305379
gas-ct,p65,2038,1580284.305379
gas-ct,p65,2041,2951808.406184
gas-ct,p65,2044,3264557.045568
gas-ct,p65,2047,3593322.252238
gas-ct,p65,2050,4242845.344309
gas-ct,p66,2010,517406.993687
gas-ct,p66,2015,629048.147803
gas-ct,p66,2020,916106.500297
gas-ct,p66,2023,1138515.493086
gas-ct,p66,2026,206136.726619
gas-ct,p66,2029,153054.72
gas-ct,p66,2032,153054.72
gas-ct,p66,2035,153054.72
gas-ct,p66,2038,153054.72
gas-ct,p66,2041,153054.72
gas-ct,p66,2044,153054.72
gas-ct,p66,2047,153054.72
gas-ct,p66,2050,153054.72
gas-ct,p67,2010,2267962.780939
gas-ct,p67,2015,2531322.834726
gas-ct,p67,2020,5774240.475409
gas-ct,p67,2023,14899886.732192
gas-ct,p67,2026,2436261.12
gas-ct,p67,2029,2436261.12
gas-ct,p67,2032,2087788.32
gas-ct,p67,2035,2073597.12
gas-ct,p67,2038,2073597.12
gas-ct,p67,2041,2073597.12
gas-ct,p67,2044,6261646.148043
gas-ct,p67,2047,6623420.808231
gas-ct,p67,2050,6301545.477246
gas-ct,p68,2010,971654.815135
gas-ct,p68,2015,505784.88
gas-ct,p68,2020,505784.88
gas-ct,p68,2023,564291.688168
gas-ct,p68,2026,505784.88
gas-ct,p68,2029,517187.993534
gas-ct,p68,2032,517820.146988
gas-ct,p68,2035,513667.906988
gas-ct,p68,2038,566049.622628
gas-ct,p68,2041,566049.622628
gas-ct,p68,2044,566049.622628
gas-ct,p68,2047,589743.84791
gas-ct,p68,2050,603498.074874
gas-ct,p69,2010,155840.4
gas-ct,p69,2015,155840.4
gas-ct,p69,2020,155840.4
gas-ct,p69,2023,155840.4
gas-ct,p69,2026,155840.4
gas-ct,p69,2029,147430.8
gas-ct,p69,2032,138292.764459
gas-ct,p69,2035,32647.164459
gas-ct,p69,2038,32647.164459
gas-ct,p69,2041,32647.164459
gas-ct,p69,2044,32647.164459
gas-ct,p69,2047,32647.164459
gas-ct,p69,2050,32647.164459
gas-ct,p70,2010,335753.28
gas-ct,p70,2015,335753.28
gas-ct,p70,2020,335753.28
gas-ct,p70,2023,364766.4
gas-ct,p70,2026,344110.32
gas-ct,p70,2029,247562.825207
gas-ct,p70,2032,235725.511892
gas-ct,p70,2035,129922.231892
gas-ct,p70,2038,127215.503246
gas-ct,p70,2041,147837.079866
gas-ct,p70,2044,147837.079866
gas-ct,p70,2047,106787.719866
gas-ct,p70,2050,65528.119866
gas-ct,p71,2010,36450.857017
gas-ct,p71,2015,14639.4303
gas-ct,p71,2020,13770.2643
gas-ct,p71,2023,17972.490942
gas-ct,p71,2026,7253.28
gas-ct,p71,2029,7253.28
gas-ct,p71,2032,705751.935156
gas-ct,p71,2035,724006.990217
gas-ct,p71,2038,883872.010283
gas-ct,p71,2041,883872.010283
gas-ct,p71,2044,883872.010283
gas-ct,p71,2047,883872.010283
gas-ct,p71,2050,883872.010283
gas-ct,p72,2010,1511447.050307
gas-ct,p72,2015,532720.483113
gas-ct,p72,2020,528228.0
gas-ct,p72,2023,739629.542429
gas-ct,p72,2026,504576.0
gas-ct,p72,2029,496692.0
gas-ct,p72,2032,2178924.587683
gas-ct,p72,2035,2357918.069673
gas-ct,p72,2038,2395170.459406
gas-ct,p72,2041,2395170.459406
gas-ct,p72,2044,2395170.459406
gas-ct,p72,2047,2395170.459406
gas-ct,p72,2050,2395170.459406
gas-ct,p73,2015,37288.728
gas-ct,p73,2020,19864.584
gas-ct,p73,2023,29378.376
gas-ct,p73,2026,12614.4
gas-ct,p73,2029,12614.4
gas-ct,p73,2032,132610.62221
gas-ct,p73,2035,132610.62221
gas-ct,p73,2038,132610.62221
gas-ct,p73,2041,132610.62221
gas-ct,p73,2044,132610.62221
gas-ct,p73,2047,132610.62221
gas-ct,p73,2050,132610.62221
gas-ct,p74,2020,768508.954302
gas-ct,p74,2023,776094.957285
gas-ct,p74,2026,125197.92
gas-ct,p74,2029,127300.32
gas-ct,p74,2032,127300.32
gas-ct,p74,2035,127300.32
gas-ct,p74,2038,127300.32
gas-ct,p74,2041,127300.32
gas-ct,p74,2044,127300.32
gas-ct,p74,2047,127300.32
gas-ct,p74,2050,127300.32
gas-ct,p75,2010,333800.5554
gas-ct,p75,2015,291182.4
gas-ct,p75,2020,291182.4
gas-ct,p75,2023,469155.226606
gas-ct,p75,2026,307423.44
gas-ct,p75,2029,288133.92
gas-ct,p75,2032,289464.525691
gas-ct,p75,2035,289464.525691
gas-ct,p75,2038,292480.816138
gas-ct,p75,2041,292480.816138
gas-ct,p75,2044,292480.816138
gas-ct,p75,2047,294646.553197
gas-ct,p75,2050,253544.633197
gas-ct,p76,2010,937256.737463
gas-ct,p76,2015,1010097.797324
gas-ct,p76,2020,1335396.010265
gas-ct,p76,2023,1267035.944664
gas-ct,p76,2026,419323.68
gas-ct,p76,2029,419323.68
gas-ct,p76,2032,1805734.930159
gas-ct,p76,2035,1797430.450159
gas-ct,p76,2038,1797430.450159
gas-ct,p76,2041,1797430.450159
gas-ct,p76,2044,1797430.450159
gas-ct,p76,2047,1797430.450159
gas-ct,p76,2050,1668185.410159
gas-ct,p77,2010,578.16
gas-ct,p77,2015,578.16
gas-ct,p77,2020,578.16
gas-ct,p77,2023,578.16
gas-ct,p77,2026,578.16
gas-ct,p77,2029,801.858551
gas-ct,p77,2032,536574.762262
gas-ct,p77,2035,763676.542585
gas-ct,p77,2038,766105.870708
gas-ct,p77,2041,766105.870708
gas-ct,p77,2044,766105.870708
gas-ct,p77,2047,766105.870708
gas-ct,p77,2050,766105.870708
gas-ct,p78,2010,652533.557519
gas-ct,p78,2015,673478.532224
gas-ct,p78,2020,986573.048889
gas-ct,p78,2023,858848.269078
gas-ct,p78,2026,287503.2
gas-ct,p78,2029,269737.92
gas-ct,p78,2032,415405.69182
gas-ct,p78,2035,402686.17182
gas-ct,p78,2038,407535.144864
gas-ct,p78,2041,408629.463567
gas-ct,p78,2044,408629.463567
gas-ct,p78,2047,408629.463567
gas-ct,p78,2050,408629.463567
gas-ct,p79,2010,1299797.46109
gas-ct,p79,2015,1045279.221667
gas-ct,p79,2020,1254865.207717
gas-ct,p79,2023,1198294.310736
gas-ct,p79,2026,605228.4
gas-ct,p79,2029,605228.4
gas-ct,p79,2032,655363.25283
gas-ct,p79,2035,655363.25283
gas-ct,p79,2038,655363.25283
gas-ct,p79,2041,655363.25283
gas-ct,p79,2044,655363.25283
gas-ct,p79,2047,655363.25283
gas-ct,p79,2050,273252.05283
gas-ct,p8,2010,14339.354253
gas-ct,p8,2015,2943.36
gas-ct,p8,2020,2943.36
gas-ct,p8,2023,2943.36
gas-ct,p8,2026,2943.36
gas-ct,p8,2029,2943.36
gas-ct,p8,2032,11629.793461
gas-ct,p8,2035,28787.76855
gas-ct,p8,2038,39854.480846
gas-ct,p8,2041,39854.480846
gas-ct,p8,2044,39854.480846
gas-ct,p8,2047,39854.480846
gas-ct,p8,2050,39854.480846
gas-ct,p80,2010,9280669.746233
gas-ct,p80,2015,11936159.662341
gas-ct,p80,2020,15641562.040449
gas-ct,p80,2023,13805470.984326
gas-ct,p80,2026,3847129.2
gas-ct,p80,2029,3847129.2
gas-ct,p80,2032,3847129.2
gas-ct,p80,2035,3841295.04
gas-ct,p80,2038,3841295.04
gas-ct,p80,2041,3841295.04
gas-ct,p80,2044,3838667.04
gas-ct,p81,2010,1203107.652475
gas-ct,p81,2015,872548.56
gas-ct,p81,2020,1417746.081167
gas-ct,p81,2023,1073822.561279
gas-ct,p81,2026,763539.12
gas-ct,p81,2029,761226.48
gas-ct,p81,2032,752974.56
gas-ct,p81,2035,705985.92
gas-ct,p81,2038,705985.92
gas-ct,p81,2041,705985.92
gas-ct,p81,2044,705985.92
gas-ct,p82,2010,56975.04
gas-ct,p82,2015,56975.04
gas-ct,p82,2020,56975.04
gas-ct,p82,2023,56975.04
gas-ct,p82,2026,61097.766614
gas-ct,p82,2029,61192.272378
gas-ct,p82,2032,67029.458824
gas-ct,p82,2035,67029.458824
gas-ct,p82,2038,67029.458824
gas-ct,p82,2041,67029.458824
gas-ct,p82,2044,67029.458824
gas-ct,p83,2010,1846580.585281
gas-ct,p83,2015,2420922.625464
gas-ct,p83,2020,3031199.178807
gas-ct,p83,2023,2754740.459649
gas-ct,p83,2026,913930.953507
gas-ct,p83,2029,785404.08
gas-ct,p83,2032,785404.08
gas-ct,p83,2035,784720.8
gas-ct,p83,2038,784720.8
gas-ct,p83,2041,784720.8
gas-ct,p83,2044,784720.8
gas-ct,p84,2010,264115.17761
gas-ct,p84,2015,91244.16
gas-ct,p84,2020,91244.16
gas-ct,p84,2023,91244.16
gas-ct,p84,2026,91244.16
gas-ct,p84,2029,91244.16
gas-ct,p84,2032,84043.44
gas-ct,p84,2035,84043.44
gas-ct,p84,2038,84043.44
gas-ct,p84,2041,84043.44
gas-ct,p84,2044,84043.44
gas-ct,p84,2047,84043.44
gas-ct,p84,2050,84043.44
gas-ct,p85,2010,937203.435803
gas-ct,p85,2015,645094.240671
gas-ct,p85,2020,759677.693706
gas-ct,p85,2023,869151.000443
gas-ct,p85,2026,190056.96
gas-ct,p86,2010,535138.725973
gas-ct,p86,2015,403072.910443
gas-ct,p86,2020,722785.507153
gas-ct,p86,2023,721029.126758
gas-ct,p86,2026,227449.5795
gas-ct,p86,2029,43486.971484
gas-ct,p86,2032,43486.971484
gas-ct,p86,2035,43486.971484
gas-ct,p86,2038,43486.971484
gas-ct,p86,2041,43486.971484
gas-ct,p86,2044,43486.971484
gas-ct,p86,2047,43486.971484
gas-ct,p86,2050,43486.971484
gas-ct,p87,2010,1244626.958634
gas-ct,p87,2015,615071.981453
gas-ct,p87,2020,799824.976453
gas-ct,p87,2023,749803.564194
gas-ct,p87,2026,509937.12
gas-ct,p87,2029,426787.2
gas-ct,p87,2032,426787.2
gas-ct,p87,2035,426787.2
gas-ct,p87,2038,426787.2
gas-ct,p87,2041,426787.2
gas-ct,p87,2044,426787.2
gas-ct,p87,2047,426787.2
gas-ct,p87,2050,426787.2
gas-ct,p88,2010,154972.326
gas-ct,p88,2015,154105.92
gas-ct,p88,2020,154105.92
gas-ct,p88,2023,154105.92
gas-ct,p88,2026,2175575.919739
gas-ct,p88,2029,2175575.919739
gas-ct,p88,2032,2175575.919739
gas-ct,p88,2035,2175575.919739
gas-ct,p88,2038,2175575.919739
gas-ct,p88,2041,2175575.919739
gas-ct,p88,2044,2175575.919739
gas-ct,p88,2047,2175575.919739
gas-ct,p88,2050,2175575.919739
gas-ct,p89,2010,976642.3032
gas-ct,p89,2015,579841.92
gas-ct,p89,2020,579841.92
gas-ct,p89,2023,928314.72
gas-ct,p89,2026,928314.72
gas-ct,p89,2029,562691.638171
gas-ct,p89,2032,562691.638171
gas-ct,p89,2035,562691.638171
gas-ct,p89,2038,562691.638171
gas-ct,p89,2041,562691.638171
gas-ct,p89,2044,562691.638171
gas-ct,p89,2047,562691.638171
gas-ct,p89,2050,349298.038171
gas-ct,p9,2010,3847749.193324
gas-ct,p9,2015,2099614.32
gas-ct,p9,2020,2099614.32
gas-ct,p9,2023,2163317.04
gas-ct,p9,2026,2317227.0047
gas-ct,p9,2029,2305010.935975
gas-ct,p9,2032,2305010.935975
gas-ct,p9,2035,2305010.935975
gas-ct,p9,2038,2646708.506529
gas-ct,p9,2041,4215545.641011
gas-ct,p9,2044,4152263.401011
gas-ct,p9,2047,4074001.561011
gas-ct,p9,2050,4028694.841011
gas-ct,p90,2010,5082085.214542
gas-ct,p90,2015,2662541.843096
gas-ct,p90,2020,2576262.547915
gas-ct,p90,2023,1725860.035787
gas-ct,p90,2026,777362.4
gas-ct,p90,2029,485654.4
gas-ct,p90,2032,485654.4
gas-ct,p90,2035,485654.4
gas-ct,p90,2038,485654.4
gas-ct,p90,2041,485654.4
gas-ct,p90,2044,485654.4
gas-ct,p90,2047,472514.4
gas-ct,p90,2050,472514.4
gas-ct,p91,2010,6307.2
gas-ct,p91,2015,6307.2
gas-ct,p91,2020,6307.2
gas-ct,p91,2023,601232.296757
gas-ct,p91,2026,491015.52
gas-ct,p91,2029,221071.743669
gas-ct,p91,2032,221071.743669
gas-ct,p91,2035,221071.743669
gas-ct,p91,2038,221071.743669
gas-ct,p91,2041,368824.930761
gas-ct,p91,2044,368824.930761
gas-ct,p91,2047,368824.930761
gas-ct,p91,2050,368824.930761
gas-ct,p92,2010,4259437.385521
gas-ct,p92,2015,1747935.36
gas-ct,p92,2020,1747935.36
gas-ct,p92,2023,1747935.36
gas-ct,p92,2026,1351843.2
gas-ct,p92,2029,1351843.2
gas-ct,p92,2032,1078921.874348
gas-ct,p92,2035,1078921.874348
gas-ct,p92,2038,1367338.434891
gas-ct,p92,2041,1571741.184602
gas-ct,p92,2044,1571741.184602
gas-ct,p92,2047,1571741.184602
gas-ct,p92,2050,1571741.184602
gas-ct,p93,2010,1858162.159039
gas-ct,p93,2015,687142.435739
gas-ct,p93,2020,647228.310856
gas-ct,p93,2023,526988.754439
gas-ct,p93,2026,363504.96
gas-ct,p93,2029,363504.96
gas-ct,p93,2032,363504.96
gas-ct,p93,2035,363504.96
gas-ct,p93,2038,363504.96
gas-ct,p93,2041,363504.96
gas-ct,p93,2044,363504.96
gas-ct,p93,2047,363504.96
gas-ct,p93,2050,363504.96
gas-ct,p94,2010,14760480.877825
gas-ct,p94,2015,3919031.28
gas-ct,p94,2020,3919241.52
gas-ct,p94,2023,3922395.12
gas-ct,p94,2026,4142306.16
gas-ct,p94,2029,4142306.16
gas-ct,p94,2032,4142306.16
gas-ct,p94,2035,4140203.76
gas-ct,p94,2038,4708515.193184
gas-ct,p94,2041,5451653.195109
gas-ct,p94,2044,5451653.195109
gas-ct,p94,2047,5451653.195109
gas-ct,p94,2050,4949652.635109
gas-ct,p95,2010,3132587.391665
gas-ct,p95,2015,1067230.8
gas-ct,p95,2020,1073800.8
gas-ct,p95,2023,1073800.8
gas-ct,p95,2026,1073800.8
gas-ct,p95,2029,1073800.8
gas-ct,p95,2032,1073800.8
gas-ct,p95,2035,1073800.8
gas-ct,p95,2038,1073800.8
gas-ct,p95,2041,1073800.8
gas-ct,p95,2044,1161760.234076
gas-ct,p95,2047,1161760.234076
gas-ct,p95,2050,1161760.234076
gas-ct,p96,2010,430700.716403
gas-ct,p96,2015,369181.44
gas-ct,p96,2020,293757.84
gas-ct,p96,2023,241197.84
gas-ct,p96,2026,307423.44
gas-ct,p96,2029,307423.44
gas-ct,p96,2032,307423.44
gas-ct,p96,2035,286925.04
gas-ct,p96,2038,945607.273332
gas-ct,p96,2041,1893212.592199
gas-ct,p96,2044,1893212.592199
gas-ct,p96,2047,1846959.792199
gas-ct,p96,2050,1842544.752199
gas-ct,p97,2010,5160140.288926
gas-ct,p97,2015,2474649.491284
gas-ct,p97,2020,2411719.278916
gas-ct,p97,2023,2089032.647368
gas-ct,p97,2026,2232380.88
gas-ct,p97,2029,2232380.88
gas-ct,p97,2032,2232380.88
gas-ct,p97,2035,2232380.88
gas-ct,p97,2038,2934483.214926
gas-ct,p97,2041,2934483.214926
gas-ct,p97,2044,2934483.214926
gas-ct,p97,2047,2934483.214926
gas-ct,p97,2050,2476685.614926
gas-ct,p98,2010,3102146.316324
gas-ct,p98,2015,1051725.6
gas-ct,p98,2020,1095876.0
gas-ct,p98,2023,1095876.0
gas-ct,p98,2026,1152315.969955
gas-ct,p98,2029,1852302.0
gas-ct,p98,2032,1831278.0
gas-ct,p98,2035,1831278.0
gas-ct,p98,2038,2117223.237834
gas-ct,p98,2041,3654137.015664
gas-ct,p98,2044,3654137.015664
gas-ct,p98,2047,7140609.895837
gas-ct,p98,2050,7140609.895837
gas-ct,p99,2010,8612736.101372
gas-ct,p99,2015,1860624.0
gas-ct,p99,2020,2030392.8
gas-ct,p99,2023,2030392.8
gas-ct,p99,2026,2030392.8
gas-ct,p99,2029,2443602.0
gas-ct,p99,2032,2443602.0
gas-ct,p99,2035,2443602.0
gas-ct,p99,2038,2443602.0
gas-ct,p99,2041,2443602.0
gas-ct,p99,2044,2264898.0
gas-ct,z122,2010,1523497.820807
gas-ct,z122,2015,988138.838219
gas-ct,z122,2020,583469.505087
gas-ct,z122,2023,479399.76
gas-ct,z122,2026,434776.32
gas-ct,z122,2029,402189.12
gas-ct,z122,2032,402189.12
gas-ct,z122,2035,402189.12
gas-ct,z122,2038,402189.12
gas-ct,z122,2041,395881.92
gas-ct,z122,2044,364924.08
gas-ct,z122,2047,364924.08
gas-ct,z122,2050,364924.08
gas-ct,z28,2010,909550.8
gas-ct,z28,2015,1183283.28
gas-ct,z28,2020,3028037.80651
gas-ct,z28,2023,1642552.56
gas-ct,z28,2026,1727069.04
gas-ct,z28,2029,1335917.52
gas-ct,z28,2032,1266012.72
gas-ct,z28,2035,1260756.72
gas-ct,z28,2038,1260756.72
gas-ct,z28,2041,1260756.72
gas-ct,z28,2044,1239469.92001
gas-ct,z28,2047,1239469.92
gas-ct,z28,2050,1239469.92
o-g-s,p1,2010,4152.24
o-g-s,p1,2015,4152.24
o-g-s,p1,2020,4152.24
o-g-s,p1,2023,4152.24
o-g-s,p1,2026,4152.24
o-g-s,p1,2029,4152.24
o-g-s,p1,2032,1314.0
o-g-s,p10,2010,2520935.28
o-g-s,p10,2015,2529029.52
o-g-s,p10,2020,2547215.28
o-g-s,p10,2023,2061718.56
o-g-s,p10,2026,1295709.12
o-g-s,p10,2029,374700.24
o-g-s,p10,2032,363610.08
o-g-s,p10,2035,264692.16
o-g-s,p10,2038,30589.92
o-g-s,p10,2041,30589.92
o-g-s,p10,2044,30589.92
o-g-s,p10,2047,29118.24
o-g-s,p10,2050,29118.24
o-g-s,p101,2010,6487188.470547
o-g-s,p101,2015,3025998.535997
o-g-s,p101,2020,3262402.289009
o-g-s,p101,2023,2342073.6
o-g-s,p101,2026,2270066.4
o-g-s,p101,2029,1897691.854536
o-g-s,p101,2032,1750523.854536
o-g-s,p101,2035,964338.048564
o-g-s,p101,2038,964338.048564
o-g-s,p101,2041,964338.048564
o-g-s,p101,2044,926494.848564
o-g-s,p101,2047,852910.848564
o-g-s,p101,2050,835040.448564
o-g-s,p102,2010,463463.734449
o-g-s,p102,2015,336804.48
o-g-s,p102,2020,336804.48
o-g-s,p102,2023,336804.48
o-g-s,p102,2026,323138.88
o-g-s,p102,2029,353.711511
o-g-s,p102,2032,353.711511
o-g-s,p102,2035,333.831314
o-g-s,p102,2038,333.831314
o-g-s,p102,2041,333.831314
o-g-s,p102,2044,333.831314
o-g-s,p102,2047,333.831314
o-g-s,p102,2050,52.56
o-g-s,p103,2010,9573820.241896
o-g-s,p103,2015,5852360.586792
o-g-s,p103,2020,7368971.024909
o-g-s,p103,2023,5557146.538423
o-g-s,p103,2026,5351208.459955
o-g-s,p103,2029,2015465.76
o-g-s,p103,2032,2007792.0
o-g-s,p103,2035,1863935.28
o-g-s,p103,2038,1862516.16
o-g-s,p103,2041,1859099.76
o-g-s,p103,2044,2419635.740587
o-g-s,p103,2047,1966804.135548
o-g-s,p103,2050,2398151.841008
o-g-s,p105,2010,42517.992
o-g-s,p105,2015,20866.32
o-g-s,p105,2020,20866.32
o-g-s,p105,2023,20866.32
o-g-s,p105,2026,20393.28
o-g-s,p105,2029,20393.28
o-g-s,p105,2032,20393.28
o-g-s,p105,2035,10932.48
o-g-s,p105,2038,10932.48
o-g-s,p105,2041,10932.48
o-g-s,p105,2044,10932.48
o-g-s,p105,2047,946.08
o-g-s,p105,2050,946.08
o-g-s,p106,2010,2804098.000245
o-g-s,p106,2015,2258886.980266
o-g-s,p106,2020,2671419.597048
o-g-s,p106,2023,1863828.649176
o-g-s,p106,2026,349208.64
o-g-s,p106,2029,349208.64
o-g-s,p106,2032,349208.64
o-g-s,p106,2035,221487.84
o-g-s,p106,2038,221487.84
o-g-s,p106,2041,221487.84
o-g-s,p106,2044,221487.84
o-g-s,p106,2047,221487.84
o-g-s,p106,2050,1787.04
o-g-s,p107,2010,44130.72
o-g-s,p107,2015,13832.547
o-g-s,p107,2020,11731.347
o-g-s,p107,2023,5781.6
o-g-s,p107,2026,5781.6
o-g-s,p107,2029,5781.6
o-g-s,p107,2032,5781.6
o-g-s,p107,2035,1051.2
o-g-s,p107,2038,1051.2
o-g-s,p107,2041,1051.2
o-g-s,p107,2044,1051.2
o-g-s,p107,2047,1051.2
o-g-s,p107,2050,1051.2
o-g-s,p108,2010,2151363.337463
o-g-s,p108,2015,1102016.074995
o-g-s,p108,2020,554137.452565
o-g-s,p108,2023,276943.323319
o-g-s,p108,2026,238622.4
o-g-s,p108,2029,238622.4
o-g-s,p109,2010,61701.2382
o-g-s,p109,2015,31967.4579
o-g-s,p109,2020,10583.5506
o-g-s,p109,2023,6783.6426
o-g-s,p109,2026,6254.64
o-g-s,p109,2029,6254.64
o-g-s,p109,2032,6254.64
o-g-s,p11,2015,3258.72
o-g-s,p11,2020,6149.52
o-g-s,p11,2023,44430.394291
o-g-s,p11,2026,6307.2
o-g-s,p11,2029,6307.2
o-g-s,p11,2032,6307.2
o-g-s,p11,2035,6307.2
o-g-s,p11,2038,6307.2
o-g-s,p11,2041,6307.2
o-g-s,p11,2044,6307.2
o-g-s,p110,2010,1562776.8
o-g-s,p110,2015,1328746.475962
o-g-s,p110,2020,1199216.160024
o-g-s,p110,2023,1023103.2426
o-g-s,p110,2026,136656.0
o-g-s,p110,2029,136656.0
o-g-s,p110,2032,136656.0
o-g-s,p110,2035,136656.0
o-g-s,p111,2010,704785.06041
o-g-s,p111,2015,504365.89491
o-g-s,p111,2020,651976.302183
o-g-s,p111,2023,508749.004062
o-g-s,p111,2026,115737.12
o-g-s,p111,2029,115737.12
o-g-s,p111,2032,115737.12
o-g-s,p111,2035,40996.8
o-g-s,p111,2038,40996.8
o-g-s,p111,2041,40996.8
o-g-s,p111,2044,139121.461273
o-g-s,p111,2047,113866.813318
o-g-s,p111,2050,113514.015406
o-g-s,p112,2010,525416.104692
o-g-s,p112,2015,268197.771516
o-g-s,p112,2020,229769.622976
o-g-s,p112,2023,103280.4
o-g-s,p112,2026,103280.4
o-g-s,p112,2029,103280.4
o-g-s,p112,2032,103280.4
o-g-s,p112,2035,62704.08
o-g-s,p112,2038,62704.08
o-g-s,p112,2041,62704.08
o-g-s,p112,2044,56396.88
o-g-s,p112,2047,56396.88
o-g-s,p112,2050,25176.24
o-g-s,p113,2010,115073.982933
o-g-s,p113,2015,62078.94
o-g-s,p113,2020,50874.2175
o-g-s,p113,2023,31010.4
o-g-s,p113,2026,31010.4
o-g-s,p113,2029,31010.4
o-g-s,p113,2032,31010.4
o-g-s,p113,2035,8672.4
