*cendiv,value
New_England,2.359082
Mid_Atlantic,0.185420
East_North_Central,0.013440
West_North_Central,0.513493
South_Atlantic,0.029744
East_South_Central,-0.026099
West_South_Central,-0.126897
Mountain,0.049527
Pacific,0.704760
