year,New_England,Mid_Atlantic,East_North_Central,West_North_Central,South_Atlantic,East_South_Central,West_South_Central,Mountain,Pacific
2010,7.770429,7.816364,7.090995,7.734288,8.645587,6.864627,6.613847,7.214633,6.922075
2011,6.976606,7.181610,6.415244,7.187830,7.612683,6.035803,6.021934,6.759040,6.523092
2012,5.125688,4.920955,4.318396,4.836968,5.744142,4.171337,4.086242,4.812692,4.981963
2013,8.068125,6.221772,5.644572,6.217397,6.488062,5.425661,5.311725,6.026714,5.966594
2014,8.769202,6.749786,6.901574,7.398615,7.217680,6.196134,6.141908,6.533248,6.652865
2015,5.664139,3.850320,3.728469,4.428217,5.209638,3.831858,3.709608,4.283486,4.318228
2016,5.148299,3.661068,3.604329,3.500407,4.514280,3.348942,3.097470,3.544384,3.667086
2017,5.355285,4.159690,4.251332,4.469497,4.872571,4.060241,3.814341,4.195250,4.189158
2018,5.881254,4.228362,4.083061,4.334410,4.693188,4.025985,3.784559,4.311702,4.317322
2019,5.476462,3.569320,3.074155,3.352608,4.098979,3.292144,2.850897,3.555691,3.748837
2020,4.894557,2.922261,2.433601,2.854164,3.535609,2.771318,2.372946,3.117011,3.305045
2021,7.947848,5.323930,5.212050,5.658208,6.632816,5.940867,5.441225,6.295938,6.712710
2022,8.928909,6.175171,6.736810,7.627995,8.543692,7.910931,7.360517,7.816437,8.040398
2023,5.182357,3.094090,2.576697,3.021989,3.743503,2.934271,2.512475,3.300291,3.499382
2024,3.914745,2.269530,2.285080,2.605072,3.581676,2.645327,2.199480,2.841191,3.178771
2025,3.945919,2.724665,2.837277,3.162053,3.846201,3.142428,2.702884,3.296411,3.449765
2026,3.819109,2.780215,2.763278,3.076137,3.765639,3.055122,2.602545,3.156343,3.232441
2027,3.435360,2.636923,2.703812,3.054238,3.837702,2.988694,2.549224,3.122164,3.154894
2028,3.240752,2.576812,2.762565,3.195382,3.785440,3.127218,2.701754,3.269873,3.344125
2029,3.229812,2.643674,2.918250,3.398271,4.085795,3.306478,2.910596,3.513918,3.634970
2030,3.129285,2.773706,3.049576,3.646155,4.087484,3.512392,3.163967,3.861304,4.019860
2031,3.326129,2.866469,3.170081,3.762861,4.101537,3.613755,3.303848,4.079747,4.274564
2032,3.779099,3.222987,3.635774,4.423059,4.559186,4.085257,3.843493,4.733683,4.891140
2033,4.071227,3.483385,3.881344,4.704285,4.842482,4.388517,4.214373,5.040173,5.191451
2034,4.168971,3.598001,3.987692,4.772688,4.962396,4.544195,4.409548,5.230925,5.384827
2035,4.199443,3.631619,4.045470,4.784186,5.016607,4.609845,4.425838,5.303466,5.412060
2036,4.265835,3.610814,4.036805,4.780307,5.044314,4.556694,4.374448,5.251937,5.282920
2037,4.120316,3.518157,3.899876,4.672058,4.979167,4.464017,4.317363,5.176685,5.104523
2038,3.993610,3.376865,3.733063,4.566430,4.909653,4.376263,4.273121,5.154803,5.010477
2039,3.816716,3.256926,3.681409,4.408439,4.850672,4.286094,4.233821,5.160571,4.923649
2040,3.872509,3.215503,3.662889,4.491251,4.854046,4.299133,4.305593,5.306404,5.055543
2041,3.966687,3.252421,3.723782,4.649086,4.880734,4.361627,4.432408,5.505489,5.287903
2042,4.091134,3.298153,3.773970,4.751801,4.925858,4.390012,4.548378,5.683669,5.408764
2043,4.169929,3.344024,3.805754,4.807343,5.008918,4.522407,4.704851,5.836872,5.563621
2044,4.087124,3.347215,3.800041,4.817755,5.012309,4.578125,4.813431,5.905303,5.645613
2045,3.891919,3.329523,3.798050,4.839172,4.970164,4.596054,4.858135,5.945200,5.636967
2046,3.902629,3.393556,3.810532,4.945189,4.994895,4.665256,4.923351,6.013248,5.758965
2047,3.945969,3.383668,3.770669,4.909540,4.917217,4.652761,5.001916,6.069484,5.808951
2048,3.787596,3.349662,3.740844,4.859097,4.802450,4.571362,5.000763,6.010077,5.813332
2049,3.870886,3.274235,3.685088,4.774216,4.690213,4.388964,4.946911,5.912456,5.796697
2050,3.788044,3.161351,3.642668,4.791852,4.578797,4.235358,4.904408,5.972120,5.745820
