type,duration,solar_multiple,cost_per_kw,ratio,base_tech
csp1,14,2.7,7919,1.078,0
csp2,10,2.4,7347,1.000,1
csp3,8,1.3,6213,0.846,0
csp4,6,1,5793,0.788,0
