# https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
city,state,pop_2023,pop_2020,change,mile2,km2,permile2,perkm2,latitude,longitude
Wilmington,NC,122698,115451,6.28%,51.4,133.1,2246,867,34.21,-77.89
Rochester,MN,122413,121395,0.84%,55.5,143.7,2187,844,44.02,-92.48
Concord,CA,122315,125410,-2.47%,30.6,79.3,4098,1582,37.97,-122.00
Lakeland,FL,122264,112641,8.54%,66.2,171.5,1702,657,28.06,-81.95
North Charleston,SC,121469,114852,5.76%,77.6,201.0,1480,570,32.92,-80.07
Lafayette,LA,121467,121374,0.08%,55.8,144.5,2175,840,30.21,-92.03
Arvada,CO,121414,124402,-2.40%,38.9,100.8,3198,1235,39.83,-105.15
Independence,MO,120922,123011,-1.70%,78.0,202.0,1577,609,39.09,-94.35
Billings,MT,120864,117116,3.20%,44.8,116.0,2614,1009,45.79,-108.55
Fairfield,CA,120768,119881,0.74%,41.6,107.7,2882,1113,38.26,-122.03
Hartford,CT,119669,121054,-1.14%,17.4,45.1,6957,2686,41.77,-72.68
Ann Arbor,MI,119381,123851,-3.61%,28.2,73.0,4392,1696,42.28,-83.73
Broken Arrow,OK,119194,113540,4.98%,63.0,163.2,1802,696,36.04,-95.78
Berkeley,CA,118962,124321,-4.31%,10.4,26.9,11954,4615,37.87,-122.30
Cambridge,MA,118214,118403,-0.16%,6.4,16.6,18500,7100,42.38,-71.12
Richardson,TX,117435,119469,-1.70%,28.6,74.1,4177,1613,32.97,-96.71
Antioch,CA,117096,115291,1.57%,29.2,75.6,3948,1524,37.98,-121.80
High Point,NC,116926,114059,2.51%,56.4,146.1,2022,781,35.99,-79.99
Clearwater,FL,116850,117292,-0.38%,26.1,67.6,4494,1735,27.98,-82.77
League City,TX,116320,114392,1.69%,51.3,132.9,2230,860,29.49,-95.11
Odessa,TX,115743,114428,1.15%,51.1,132.3,2239,864,31.88,-102.35
Manchester,NH,115474,115644,-0.15%,33.1,85.7,3494,1349,42.98,-71.44
Evansville,IN,115332,117298,-1.68%,47.4,122.8,2475,956,37.99,-87.53
Waterbury,CT,114990,114403,0.51%,28.5,73.8,4014,1550,41.56,-73.04
West Jordan,UT,114908,116961,-1.76%,32.3,83.7,3621,1398,40.60,-112.00
Las Cruces,NM,114892,111385,3.15%,76.9,199.2,1448,559,32.33,-106.79
Westminster,CO,114875,116317,-1.24%,31.6,81.8,3681,1421,39.88,-105.06
Lowell,MA,114296,115554,-1.09%,13.6,35.2,8497,3281,42.64,-71.32
Nampa,ID,114268,100200,14.04%,33.5,86.8,2991,1155,43.58,-116.56
Richmond,CA,114106,116448,-2.01%,30.1,78.0,3869,1494,37.95,-122.36
Pompano Beach,FL,113619,112046,1.40%,24.0,62.2,4669,1803,26.24,-80.13
Carlsbad,CA,113495,114746,-1.09%,37.8,97.9,3036,1172,33.13,-117.28
Menifee,CA,113433,102527,10.64%,46.5,120.4,2205,851,33.69,-117.18
Provo,UT,113343,115162,-1.58%,41.7,108.0,2762,1066,40.25,-111.65
Elgin,IL,113310,114797,-1.30%,38.0,98.4,3021,1166,42.04,-88.33
Greeley,CO,112609,108795,3.51%,48.9,126.7,2225,859,40.41,-104.77
Springfield,IL,112544,114394,-1.62%,61.1,158.2,1872,723,39.79,-89.64
