"gid","scenario","latitude","longitude","demand_ammonia_kg","demand_biofuel_kg","demand_ldv_kg","demand_metals_kg","demand_methanol_kg","demand_mhdv_kg","demand_ng_kg","demand_refining_kg","demand_storage_kg","demand_synfuel_kg","supply_lte_kg","supply_nuclearhte_kg","supply_smr_kg","total_demand_kg","total_supply_kg"
57,"Current R&D",30.42364052,-91.03723493,615853658.536585,40743431.3641982,4491549.44375858,0,0,1996244.19722604,0,333486566.029595,0,0,0,0,1566780326.40211,996571449.571363,1566780326.40211
58,"Current R&D",30.43478701,-90.10555427,0,0,278661.137326507,0,0,123849.394367337,0,0,0,0,0,0,0,402510.531693844,0
59,"Current R&D",30.47291465,-84.2690715,0,32611277.4545075,986547.811001828,0,0,438465.69377859,0,0,0,0,0,0,0,34036290.9592879,0
60,"Current R&D",30.48875488,-87.25291617,0,97833832.3635225,1279016.02795384,45977011.4942529,0,568451.567979483,0,1926109.31055559,0,0,0,0,29748405.3862509,147584420.764264,29748405.3862509
61,"Current R&D",30.62620521,-96.3321831,0,0,580441.141042957,0,0,257973.840463537,0,0,0,0,0,0,0,838414.981506494,0
62,"Current R&D",30.66690735,-88.16451548,0,30122676.290459,1454880.81150127,45977011.4942529,0,646613.694000562,0,179320776.812726,0,0,0,0,731810772.501772,257521959.10294,731810772.501772
63,"Current R&D",30.70952684,-95.54512295,0,0,60497.6798156186,0,0,26887.8576958305,0,0,0,0,0,0,0,87385.5375114491,0
64,"Current R&D",30.80088181,-102.5208253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"Current R&D",30.8496,-83.2782,0,15706690.5270141,0,0,0,0,0,0,0,0,0,0,16814316.0878809,15706690.5270141,16814316.0878809
66,"Current R&D",31.09484174,-97.41530273,0,0,313019.760029735,0,0,139119.893346549,0,0,0,0,0,0,0,452139.653376284,0
67,"Current R&D",31.09564625,-97.7512764,0,0,981195.280029788,0,0,436086.79112435,0,0,0,0,0,0,0,1417282.07115414,0
68,"Current R&D",31.292676,-85.111597,0,10040892.0968197,0,45977011.4942529,0,0,0,0,0,0,0,0,0,56017903.5910726,0
69,"Current R&D",31.33552227,-94.73883074,0,30734965.7493546,100023.651840738,0,0,44454.9563736613,0,0,0,0,0,0,36215450.0354359,30879444.357569,36215450.0354359
70,"Current R&D",31.33775465,-92.45338697,0,0,36443.1122202189,0,0,16196.9387645417,0,0,0,0,0,0,0,52640.0509847606,0
71,"Current R&D",31.40587056,-110.959714,0,0,227475.474767282,0,0,101100.211007681,0,0,0,0,0,0,0,328575.685774963,0
72,"Current R&D",31.43991656,-100.4571056,0,0,292499.938504977,0,0,129999.972668879,0,0,0,0,0,0,0,422499.911173856,0
73,"Current R&D",31.53544511,-110.2858186,0,0,217191.31112363,0,0,96529.4716105024,0,0,0,0,0,0,0,313720.782734132,0
74,"Current R&D",31.54222589,-97.1662379,0,0,794536.159243774,0,0,353127.181886122,0,0,0,0,0,0,0,1147663.3411299,0
75,"Current R&D",31.61247785,-94.65340669,0,0,53312.0726431519,0,0,23694.2545080675,0,0,0,0,0,0,0,77006.3271512194,0
76,"Current R&D",31.78066369,-106.3894049,0,30734965.7493546,13117162.1832726,0,0,5829849.85923226,0,51619729.5228899,0,0,0,0,0,101301707.314749,0
77,"Current R&D",31.814884,-89.009189,0,20871338.9535084,0,45977011.4942529,0,0,0,4815273.27638898,0,0,0,0,0,71663623.7241503,0
78,"Current R&D",31.86521963,-102.4015017,0,30734965.7493546,990947.332370407,0,0,440421.036609069,0,0,0,0,0,0,0,32166334.1183341,0
79,"Current R&D",31.8947386,-110.993762,0,0,367608.243809337,0,0,163381.441693039,0,0,0,0,0,0,0,530989.685502376,0
80,"Current R&D",31.960773,-90.981733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"Current R&D",31.99670924,-102.108043,0,30734965.7493546,931266.412637691,0,0,413896.183394529,0,28506417.7962228,0,0,0,0,0,60586546.1416096,0
82,"Current R&D",32.04405209,-81.15342746,0,0,190111.124225743,0,0,84493.8329892193,0,0,0,0,0,0,0,274604.957214962,0
83,"Current R&D",32.21496541,-80.79638334,0,0,186861.714519999,0,0,83049.6508977775,0,0,0,0,0,0,0,269911.365417777,0
84,"Current R&D",32.25456136,-110.9462179,0,0,19182063.0470298,0,0,8525361.35423545,0,0,0,0,0,0,0,27707424.4012652,0
85,"Current R&D",32.31031406,-95.3011666,0,30734965.7493546,741072.10326435,0,0,329365.3792286,0,28891639.6583339,0,0,0,0,0,60697042.8901815,0
86,"Current R&D",32.3299423,-90.15626979,82317073.1707317,83485355.8140337,591105.634300316,45977011.4942529,0,262713.615244585,0,10516556.8356335,0,0,0,0,142804394.317727,223149816.564197,142804394.317727
87,"Current R&D",32.33217541,-106.7621244,0,0,452719.122173439,0,0,201208.49874375,0,0,0,0,0,0,0,653927.620917189,0
88,"Current R&D",32.36788515,-97.37612835,0,0,94771.0147828566,0,0,42120.4510146029,0,0,0,0,0,0,0,136891.46579746,0
89,"Current R&D",32.39987738,-86.29676999,0,20081784.1936393,86290.2618278123,45977011.4942529,0,38351.2274790277,0,0,0,0,0,0,6467044.64918498,66183437.177199,6467044.64918498
90,"Current R&D",32.42833222,-99.74648713,0,0,466771.855434764,0,0,207454.157971006,0,0,0,0,0,0,0,674226.01340577,0
91,"Current R&D",32.48539191,-84.980651,0,15706690.5270141,145233.186836999,45977011.4942529,0,64548.0830386662,0,0,0,0,0,0,0,61893483.2911427,0
92,"Current R&D",32.48544707,-93.75593694,0,27162287.5761321,430094.049865672,0,0,191152.91105141,0,31857847.9965895,0,0,0,0,15779588.9440113,59641382.5336387,15779588.9440113
93,"Current R&D",32.51855504,-94.7806703,0,30734965.7493546,231127.620990671,0,0,102723.387106965,0,0,0,0,0,0,124167.257264352,31068816.7574522,124167.257264352
94,"Current R&D",32.52079279,-92.1166126,0,0,196300.52279869,0,0,87244.6767994176,0,0,0,0,0,0,0,283545.199598108,0
95,"Current R&D",32.58420891,-83.66935839,0,15706690.5270141,118144.229050215,45977011.4942529,0,52508.54624454,0,0,0,0,0,0,0,61854354.7965618,0
96,"Current R&D",32.67780425,-114.5683055,0,0,3667319.7047063,0,0,1629919.86875836,0,0,0,0,0,0,0,5297239.57346466,0
97,"Current R&D",32.73119857,-103.1387527,0,0,166824.926840878,0,0,74144.4119292791,0,0,0,0,0,0,0,240969.338770157,0
98,"Current R&D",32.75182594,-97.72515153,0,0,147196.181797728,0,0,65420.5252434346,0,0,0,0,0,0,0,212616.707041163,0
99,"Current R&D",32.77064474,-115.545086,0,0,3153907.49957944,0,0,1401736.66647975,0,0,0,0,0,0,0,4555644.16605919,0
100,"Current R&D",32.81525112,-96.97143381,0,30734965.7493546,173102446.801641,0,0,76934420.8007291,0,0,0,0,0,0,4009567.68249468,280771833.351725,4009567.68249468
101,"Current R&D",32.83442899,-83.67135762,0,15706690.5270141,80241.6920404615,45977011.4942529,0,35662.9742402051,0,0,0,0,0,0,0,61799606.6875477,0
102,"Current R&D",32.90202251,-80.01594336,0,0,6142921.73553,0,0,2730187.43801333,0,0,0,0,0,0,0,8873109.17354333,0
103,"Current R&D",32.90246623,-105.949215,0,0,125375.030370491,0,0,55722.2357202183,0,0,0,0,0,0,0,181097.266090709,0
104,"Current R&D",32.90761491,-111.7395221,0,0,635130.447515843,0,0,282280.19889593,0,0,0,0,0,0,0,917410.646411773,0
105,"Current R&D",32.92819635,-117.1291121,0,0,172121015.021485,0,0,76498228.8984377,0,0,0,0,0,0,0,248619243.919923,0
106,"Current R&D",33.06065018,-112.0248156,0,0,250717.891576885,0,0,111430.174034171,0,0,0,0,0,0,0,362148.065611056,0
107,"Current R&D",33.09586211,-97.06800071,0,0,8968687.39877516,0,0,3986083.28834452,0,0,0,0,0,0,0,12954770.6871197,0
108,"Current R&D",33.2014573,-92.6734066,73170731.7073171,117711088.237946,0,0,0,0,0,32743858.2794451,0,0,0,0,161715568.395819,223625678.224708,161715568.395819
109,"Current R&D",33.20620768,-87.53840886,0,30122676.290459,61714.0192683472,45977011.4942529,0,27428.4530081543,0,15408874.4844447,0,0,0,0,41389085.7547838,91597704.7414331,41389085.7547838
110,"Current R&D",33.20768189,-96.66996522,0,0,3424281.15213583,0,0,1521902.73428259,0,0,0,0,0,0,0,4946183.88641842,0
111,"Current R&D",33.36524892,-104.5285552,0,11291782.0868849,189410.852296373,0,0,84182.6010206101,0,44300514.1427786,0,0,0,0,23281360.7370659,55865889.6829805,23281360.7370659
112,"Current R&D",33.3682,-92.731,0,78474058.8252972,0,0,0,0,0,2966208.33825561,0,0,0,0,6467044.64918498,81440267.1635528,6467044.64918498
113,"Current R&D",33.39835178,-91.03773201,0,20871338.9535084,4303.46666933262,45977011.4942529,0,1912.65185303672,0,0,0,0,0,0,0,66854566.5662837,0
114,"Current R&D",33.41467024,-100.4828222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"Current R&D",33.43937911,-94.07056686,0,0,58539.5004779672,0,0,26017.5557679854,0,0,0,0,0,0,0,84557.0562459526,0
116,"Current R&D",33.46967965,-86.79080135,0,10040892.0968197,3788870.54474959,45977011.4942529,0,1683942.46433315,0,0,0,0,0,0,0,61490716.6001553,0
117,"Current R&D",33.47237617,-112.3987515,0,0,4080879.40340281,0,0,1813724.17929014,0,0,0,0,0,838070707.981221,0,5894603.58269295,838070707.981221
118,"Current R&D",33.4882414,-81.99597506,114837398.373984,31413381.0540281,3421413.3681418,0,0,1520628.16361858,0,0,0,0,0,0,236378507.872023,151192820.959772,236378507.872023
119,"Current R&D",33.49399433,-111.9698648,0,0,136496052.897254,0,0,60664912.3987796,0,0,0,0,0,0,0,197160965.296034,0
120,"Current R&D",33.50153628,-88.39121113,0,41742677.9070168,2050.29490004856,45977011.4942529,0,911.242177799359,0,0,0,0,0,0,55099220.411056,87722650.9383476,55099220.411056
121,"Current R&D",33.55270384,-117.6587986,0,0,35921513.1421982,0,0,15965116.9520881,0,0,0,0,0,0,0,51886630.0942863,0
122,"Current R&D",33.5596661,-101.8917268,0,0,1058082.84023983,0,0,470259.040106593,0,0,0,0,0,0,0,1528341.88034642,0
123,"Current R&D",33.62331092,-117.1980418,0,0,12960546.3560017,0,0,5760242.82488965,0,0,0,0,0,0,0,18720789.1808913,0
124,"Current R&D",33.6558,-85.8503,0,20081784.1936393,0,45977011.4942529,0,0,0,0,0,0,0,0,1676257.97306875,66058795.6878922,1676257.97306875
125,"Current R&D",33.69432265,-96.59445098,0,61469931.4987091,114548.652461271,0,0,50910.5122050091,0,33899523.8657784,0,0,0,0,134514528.703047,95534914.5291538,134514528.703047
126,"Current R&D",33.7464375,-116.3470086,0,0,14385116.9060098,0,0,6393385.29155992,0,0,0,0,0,0,0,20778502.1975697,0
127,"Current R&D",33.75220192,-116.9800954,0,0,6495314.34417995,0,0,2886806.37519109,0,0,0,0,0,0,0,9382120.71937104,0
128,"Current R&D",33.76136397,-78.84949451,0,0,2802712.51501053,0,0,1245650.00667135,0,0,0,0,0,0,0,4048362.52168188,0
129,"Current R&D",33.82407101,-84.33245188,0,31413381.0540281,126148990.627756,45977011.4942529,0,56066218.0567806,0,0,0,0,0,0,10295535.0815025,259605601.232818,10295535.0815025
130,"Current R&D",33.90280473,-98.5186186,0,0,146760.009609057,0,0,65226.6709373586,0,0,0,0,0,0,0,211986.680546416,0
131,"Current R&D",33.94374817,-83.39779667,0,15706690.5270141,1411080.006545,45977011.4942529,0,627146.669575555,0,0,0,0,0,0,0,63721928.6973876,0
132,"Current R&D",33.98330691,-118.1057299,0,12629211.0343028,673768862.709006,0,0,299452827.870669,0,451402978.021809,0,0,0,0,2365644932.67186,1437253879.63579,2365644932.67186
133,"Current R&D",33.98669349,-117.3452636,0,6314605.51715141,77972615.1232686,0,0,34654495.6103416,0,0,0,0,0,0,24833451.4528703,118941716.250762,24833451.4528703
134,"Current R&D",34.03543678,-81.07614074,0,40844506.7080807,4359284.38423066,0,0,1937459.72632474,0,0,0,0,0,0,13710134.6562721,47141250.8186361,13710134.6562721
135,"Current R&D",34.18299976,-111.609878,0,11388440.3626128,0,0,0,0,0,0,0,0,0,0,0,11388440.3626128,0
136,"Current R&D",34.19577029,-118.8607338,0,0,15353363.9169125,0,0,6823717.29640557,0,0,0,0,0,0,0,22177081.2133181,0
